"id";"id_subj";"time";"session";"id_grp";"grp";"round";"period";"sig";"links";"choice";"hist";"active"
"1";"20";"0";"1";"3";"3";"1";"1";"1";"[1,4,6,9]";"0";"0";"1"
"2";"21";"0";"1";"10";"1";"1";"1";"1";"[2,7,9]";"0";"0";"1"
"3";"35";"0";"1";"3";"4";"1";"1";"1";"[1,4,6,9]";"0";"0";"1"
"4";"24";"0";"1";"6";"1";"1";"1";"1";"[2,3,5,8]";"0";"0";"1"
"5";"30";"0";"1";"2";"4";"1";"1";"1";"[1,5,6,7,8,9,10]";"0";"0";"1"
"6";"25";"0";"1";"2";"1";"1";"1";"1";"[1,5,6,7,8,9,10]";"0";"0";"1"
"7";"36";"0";"1";"5";"2";"1";"1";"2";"[1,2,6]";"0";"0";"1"
"8";"12";"0";"1";"1";"3";"1";"1";"2";"[2,3,5,8,9]";"0";"0";"1"
"9";"33";"0";"1";"6";"2";"1";"1";"1";"[2,3,5,8]";"0";"0";"1"
"10";"2";"0";"1";"5";"3";"1";"1";"2";"[1,2,6]";"0";"0";"1"
"11";"5";"0";"1";"9";"1";"1";"1";"1";"[1,2,3,7,10]";"0";"0";"1"
"12";"29";"0";"1";"3";"1";"1";"1";"2";"[1,4,6,9]";"0";"0";"1"
"13";"39";"0";"1";"4";"1";"1";"1";"2";"[3,7]";"0";"0";"1"
"14";"27";"0";"1";"6";"4";"1";"1";"1";"[2,3,5,8]";"0";"0";"1"
"15";"17";"0";"1";"4";"3";"1";"1";"2";"[3,7]";"0";"0";"1"
"16";"13";"0";"1";"10";"3";"1";"1";"2";"[2,7,9]";"0";"0";"1"
"17";"32";"0";"1";"1";"2";"1";"1";"2";"[2,3,5,8,9]";"0";"0";"1"
"18";"18";"0";"1";"4";"4";"1";"1";"1";"[3,7]";"0";"0";"1"
"19";"4";"0";"1";"7";"1";"1";"1";"1";"[2,4,9,10]";"0";"0";"1"
"20";"37";"0";"1";"1";"4";"1";"1";"1";"[2,3,5,8,9]";"0";"0";"1"
"21";"16";"0";"1";"10";"2";"1";"1";"2";"[2,7,9]";"0";"0";"1"
"22";"31";"0";"1";"2";"2";"1";"1";"1";"[1,5,6,7,8,9,10]";"0";"0";"1"
"23";"38";"0";"1";"9";"2";"1";"1";"1";"[1,2,3,7,10]";"0";"0";"1"
"24";"28";"0";"1";"4";"2";"1";"1";"2";"[3,7]";"0";"0";"1"
"25";"14";"0";"1";"7";"2";"1";"1";"1";"[2,4,9,10]";"0";"0";"1"
"26";"15";"0";"1";"9";"3";"1";"1";"2";"[1,2,3,7,10]";"0";"0";"1"
"27";"6";"0";"1";"2";"3";"1";"1";"1";"[1,5,6,7,8,9,10]";"0";"0";"1"
"28";"7";"0";"1";"5";"4";"1";"1";"1";"[1,2,6]";"0";"0";"1"
"29";"23";"0";"1";"5";"1";"1";"1";"1";"[1,2,6]";"0";"0";"1"
"30";"9";"0";"1";"10";"4";"1";"1";"1";"[2,7,9]";"0";"0";"1"
"31";"34";"0";"1";"8";"1";"1";"1";"2";"[1,2,6]";"0";"0";"1"
"32";"1";"0";"1";"8";"4";"1";"1";"1";"[1,2,6]";"0";"0";"1"
"33";"8";"0";"1";"7";"3";"1";"1";"2";"[2,4,9,10]";"0";"0";"1"
"34";"19";"0";"1";"7";"4";"1";"1";"1";"[2,4,9,10]";"0";"0";"1"
"35";"10";"0";"1";"8";"3";"1";"1";"2";"[1,2,6]";"0";"0";"1"
"36";"26";"0";"1";"6";"3";"1";"1";"2";"[2,3,5,8]";"0";"0";"1"
"37";"40";"0";"1";"3";"2";"1";"1";"1";"[1,4,6,9]";"0";"0";"1"
"38";"11";"0";"1";"9";"4";"1";"1";"2";"[1,2,3,7,10]";"0";"0";"1"
"39";"22";"0";"1";"8";"2";"1";"1";"2";"[1,2,6]";"0";"0";"1"
"40";"3";"0";"1";"1";"1";"1";"1";"2";"[2,3,5,8,9]";"0";"0";"1"
"41";"39";"4";"1";"4";"1";"1";"1";"2";"[3,7]";"2";"0";"1"
"42";"39";"5";"1";"4";"1";"1";"1";"2";"[3,7]";"2";"0";"1"
"43";"35";"5";"1";"3";"4";"1";"1";"1";"[1,4,6,9]";"1";"0";"1"
"44";"19";"5";"1";"7";"4";"1";"1";"1";"[2,4,9,10]";"1";"0";"1"
"45";"37";"5";"1";"1";"4";"1";"1";"1";"[2,3,5,8,9]";"1";"0";"1"
"46";"31";"5";"1";"2";"2";"1";"1";"1";"[1,5,6,7,8,9,10]";"1";"0";"1"
"47";"29";"6";"1";"3";"1";"1";"1";"2";"[1,4,6,9]";"2";"0";"1"
"48";"6";"6";"1";"2";"3";"1";"1";"1";"[1,5,6,7,8,9,10]";"1";"0";"1"
"49";"34";"6";"1";"8";"1";"1";"1";"2";"[1,2,6]";"2";"0";"1"
"50";"22";"6";"1";"8";"2";"1";"1";"2";"[1,2,6]";"2";"0";"1"
"51";"35";"6";"1";"3";"4";"1";"1";"1";"[1,4,6,9]";"1";"0";"1"
"52";"19";"6";"1";"7";"4";"1";"1";"1";"[2,4,9,10]";"1";"0";"1"
"53";"9";"6";"1";"10";"4";"1";"1";"1";"[2,7,9]";"1";"0";"1"
"54";"37";"6";"1";"1";"4";"1";"1";"1";"[2,3,5,8,9]";"1";"0";"1"
"55";"31";"6";"1";"2";"2";"1";"1";"1";"[1,5,6,7,8,9,10]";"1";"0";"1"
"56";"20";"7";"1";"3";"3";"1";"1";"1";"[1,4,6,9]";"1";"0";"1"
"57";"29";"7";"1";"3";"1";"1";"1";"2";"[1,4,6,9]";"2";"0";"1"
"58";"6";"7";"1";"2";"3";"1";"1";"1";"[1,5,6,7,8,9,10]";"1";"0";"1"
"59";"10";"7";"1";"8";"3";"1";"1";"2";"[1,2,6]";"2";"0";"1"
"60";"17";"7";"1";"4";"3";"1";"1";"2";"[3,7]";"2";"0";"1"
"61";"34";"7";"1";"8";"1";"1";"1";"2";"[1,2,6]";"2";"0";"1"
"62";"22";"7";"1";"8";"2";"1";"1";"2";"[1,2,6]";"2";"0";"1"
"63";"9";"7";"1";"10";"4";"1";"1";"1";"[2,7,9]";"1";"0";"1"
"64";"21";"7";"1";"10";"1";"1";"1";"1";"[2,7,9]";"1";"0";"1"
"65";"20";"8";"1";"3";"3";"1";"1";"1";"[1,4,6,9]";"1";"0";"1"
"66";"10";"8";"1";"8";"3";"1";"1";"2";"[1,2,6]";"2";"0";"1"
"67";"17";"8";"1";"4";"3";"1";"1";"2";"[3,7]";"2";"0";"1"
"68";"11";"8";"1";"9";"4";"1";"1";"2";"[1,2,3,7,10]";"2";"0";"1"
"69";"1";"8";"1";"8";"4";"1";"1";"1";"[1,2,6]";"1";"0";"1"
"70";"4";"8";"1";"7";"1";"1";"1";"1";"[2,4,9,10]";"2";"0";"1"
"71";"21";"8";"1";"10";"1";"1";"1";"1";"[2,7,9]";"1";"0";"1"
"72";"24";"8";"1";"6";"1";"1";"1";"1";"[2,3,5,8]";"1";"0";"1"
"73";"27";"9";"1";"6";"4";"1";"1";"1";"[2,3,5,8]";"1";"0";"1"
"74";"36";"9";"1";"5";"2";"1";"1";"2";"[1,2,6]";"2";"0";"1"
"75";"33";"9";"1";"6";"2";"1";"1";"1";"[2,3,5,8]";"1";"0";"1"
"76";"11";"9";"1";"9";"4";"1";"1";"2";"[1,2,3,7,10]";"2";"0";"1"
"77";"32";"9";"1";"1";"2";"1";"1";"2";"[2,3,5,8,9]";"2";"0";"1"
"78";"1";"9";"1";"8";"4";"1";"1";"1";"[1,2,6]";"1";"0";"1"
"79";"4";"9";"1";"7";"1";"1";"1";"1";"[2,4,9,10]";"2";"0";"1"
"80";"24";"9";"1";"6";"1";"1";"1";"1";"[2,3,5,8]";"1";"0";"1"
"81";"13";"9";"1";"10";"3";"1";"1";"2";"[2,7,9]";"2";"0";"1"
"82";"27";"10";"1";"6";"4";"1";"1";"1";"[2,3,5,8]";"1";"0";"1"
"83";"36";"10";"1";"5";"2";"1";"1";"2";"[1,2,6]";"2";"0";"1"
"84";"33";"10";"1";"6";"2";"1";"1";"1";"[2,3,5,8]";"1";"0";"1"
"85";"28";"10";"1";"4";"2";"1";"1";"2";"[3,7]";"2";"0";"1"
"86";"14";"10";"1";"7";"2";"1";"1";"1";"[2,4,9,10]";"1";"0";"1"
"87";"32";"10";"1";"1";"2";"1";"1";"2";"[2,3,5,8,9]";"2";"0";"1"
"88";"13";"10";"1";"10";"3";"1";"1";"2";"[2,7,9]";"2";"0";"1"
"89";"28";"11";"1";"4";"2";"1";"1";"2";"[3,7]";"2";"0";"1"
"90";"14";"11";"1";"7";"2";"1";"1";"1";"[2,4,9,10]";"1";"0";"1"
"91";"12";"11";"1";"1";"3";"1";"1";"2";"[2,3,5,8,9]";"1";"0";"1"
"92";"5";"11";"1";"9";"1";"1";"1";"1";"[1,2,3,7,10]";"1";"0";"1"
"93";"40";"12";"1";"3";"2";"1";"1";"1";"[1,4,6,9]";"1";"0";"1"
"94";"12";"12";"1";"1";"3";"1";"1";"2";"[2,3,5,8,9]";"1";"0";"1"
"95";"5";"12";"1";"9";"1";"1";"1";"1";"[1,2,3,7,10]";"1";"0";"1"
"96";"7";"13";"1";"5";"4";"1";"1";"1";"[1,2,6]";"1";"0";"1"
"97";"30";"13";"1";"2";"4";"1";"1";"1";"[1,5,6,7,8,9,10]";"1";"0";"1"
"98";"40";"13";"1";"3";"2";"1";"1";"1";"[1,4,6,9]";"1";"0";"1"
"99";"2";"13";"1";"5";"3";"1";"1";"2";"[1,2,6]";"2";"0";"1"
"100";"3";"13";"1";"1";"1";"1";"1";"2";"[2,3,5,8,9]";"2";"0";"1"
"101";"18";"13";"1";"4";"4";"1";"1";"1";"[3,7]";"1";"0";"1"
"102";"7";"14";"1";"5";"4";"1";"1";"1";"[1,2,6]";"1";"0";"1"
"103";"30";"14";"1";"2";"4";"1";"1";"1";"[1,5,6,7,8,9,10]";"1";"0";"1"
"104";"2";"14";"1";"5";"3";"1";"1";"2";"[1,2,6]";"2";"0";"1"
"105";"3";"14";"1";"1";"1";"1";"1";"2";"[2,3,5,8,9]";"2";"0";"1"
"106";"18";"14";"1";"4";"4";"1";"1";"1";"[3,7]";"1";"0";"1"
"107";"16";"15";"1";"10";"2";"1";"1";"2";"[2,7,9]";"2";"0";"1"
"108";"26";"15";"1";"6";"3";"1";"1";"2";"[2,3,5,8]";"2";"0";"1"
"109";"16";"16";"1";"10";"2";"1";"1";"2";"[2,7,9]";"2";"0";"1"
"110";"26";"16";"1";"6";"3";"1";"1";"2";"[2,3,5,8]";"2";"0";"1"
"111";"15";"16";"1";"9";"3";"1";"1";"2";"[1,2,3,7,10]";"2";"0";"1"
"112";"23";"17";"1";"5";"1";"1";"1";"1";"[1,2,6]";"1";"0";"1"
"113";"15";"17";"1";"9";"3";"1";"1";"2";"[1,2,3,7,10]";"2";"0";"1"
"114";"23";"18";"1";"5";"1";"1";"1";"1";"[1,2,6]";"1";"0";"1"
"115";"25";"18";"1";"2";"1";"1";"1";"1";"[1,5,6,7,8,9,10]";"2";"0";"1"
"116";"8";"18";"1";"7";"3";"1";"1";"2";"[2,4,9,10]";"2";"0";"1"
"117";"25";"19";"1";"2";"1";"1";"1";"1";"[1,5,6,7,8,9,10]";"2";"0";"1"
"118";"8";"19";"1";"7";"3";"1";"1";"2";"[2,4,9,10]";"2";"0";"1"
"119";"38";"31";"1";"9";"2";"1";"1";"1";"[1,2,3,7,10]";"0";"0";"1"
"120";"0";"30";"1";"9";"2";"1";"1";"1";"[1,2,3,7,10]";"1";"0";"0"
"121";"17";"33";"1";"4";"3";"1";"2";"2";"[3,7]";"2";"0";"1"
"122";"35";"33";"1";"3";"4";"1";"2";"1";"[1,4,6,9]";"1";"0";"1"
"123";"17";"34";"1";"4";"3";"1";"2";"2";"[3,7]";"2";"0";"1"
"124";"35";"34";"1";"3";"4";"1";"2";"1";"[1,4,6,9]";"1";"0";"1"
"125";"28";"36";"1";"4";"2";"1";"2";"2";"[3,7]";"1";"0";"1"
"126";"30";"36";"1";"2";"4";"1";"2";"1";"[1,5,6,7,8,9,10]";"1";"0";"1"
"127";"15";"36";"1";"9";"3";"1";"2";"2";"[1,2,3,7,10]";"2";"0";"1"
"128";"26";"36";"1";"6";"3";"1";"2";"2";"[2,3,5,8]";"2";"0";"1"
"129";"23";"6";"1";"5";"1";"1";"2";"1";"[1,2,6]";"1";"0";"1"
"130";"28";"37";"1";"4";"2";"1";"2";"2";"[3,7]";"1";"0";"1"
"131";"30";"37";"1";"2";"4";"1";"2";"1";"[1,5,6,7,8,9,10]";"1";"0";"1"
"132";"36";"37";"1";"5";"2";"1";"2";"2";"[1,2,6]";"1";"0";"1"
"133";"15";"37";"1";"9";"3";"1";"2";"2";"[1,2,3,7,10]";"2";"0";"1"
"134";"26";"37";"1";"6";"3";"1";"2";"2";"[2,3,5,8]";"2";"0";"1"
"135";"39";"7";"1";"4";"1";"1";"2";"2";"[3,7]";"2";"0";"1"
"136";"27";"38";"1";"6";"4";"1";"2";"1";"[2,3,5,8]";"1";"0";"1"
"137";"5";"7";"1";"9";"1";"1";"2";"1";"[1,2,3,7,10]";"2";"0";"1"
"138";"23";"7";"1";"5";"1";"1";"2";"1";"[1,2,6]";"1";"0";"1"
"139";"19";"38";"1";"7";"4";"1";"2";"1";"[2,4,9,10]";"1";"0";"1"
"140";"36";"38";"1";"5";"2";"1";"2";"2";"[1,2,6]";"1";"0";"1"
"141";"38";"39";"1";"9";"2";"1";"2";"1";"[1,2,3,7,10]";"1";"0";"1"
"142";"39";"8";"1";"4";"1";"1";"2";"2";"[3,7]";"2";"0";"1"
"143";"27";"39";"1";"6";"4";"1";"2";"1";"[2,3,5,8]";"1";"0";"1"
"144";"6";"39";"1";"2";"3";"1";"2";"1";"[1,5,6,7,8,9,10]";"2";"0";"1"
"145";"5";"8";"1";"9";"1";"1";"2";"1";"[1,2,3,7,10]";"2";"0";"1"
"146";"19";"39";"1";"7";"4";"1";"2";"1";"[2,4,9,10]";"1";"0";"1"
"147";"33";"39";"1";"6";"2";"1";"2";"1";"[2,3,5,8]";"1";"0";"1"
"148";"38";"40";"1";"9";"2";"1";"2";"1";"[1,2,3,7,10]";"1";"0";"1"
"149";"6";"40";"1";"2";"3";"1";"2";"1";"[1,5,6,7,8,9,10]";"2";"0";"1"
"150";"18";"40";"1";"4";"4";"1";"2";"1";"[3,7]";"1";"0";"1"
"151";"33";"40";"1";"6";"2";"1";"2";"1";"[2,3,5,8]";"1";"0";"1"
"152";"20";"40";"1";"3";"3";"1";"2";"1";"[1,4,6,9]";"2";"0";"1"
"153";"37";"40";"1";"1";"4";"1";"2";"1";"[2,3,5,8,9]";"1";"0";"1"
"154";"25";"10";"1";"2";"1";"1";"2";"1";"[1,5,6,7,8,9,10]";"1";"0";"1"
"155";"8";"41";"1";"7";"3";"1";"2";"2";"[2,4,9,10]";"2";"0";"1"
"156";"18";"41";"1";"4";"4";"1";"2";"1";"[3,7]";"1";"0";"1"
"157";"14";"41";"1";"7";"2";"1";"2";"1";"[2,4,9,10]";"1";"0";"1"
"158";"20";"41";"1";"3";"3";"1";"2";"1";"[1,4,6,9]";"2";"0";"1"
"159";"37";"41";"1";"1";"4";"1";"2";"1";"[2,3,5,8,9]";"1";"0";"1"
"160";"11";"42";"1";"9";"4";"1";"2";"2";"[1,2,3,7,10]";"1";"0";"1"
"161";"9";"42";"1";"10";"4";"1";"2";"1";"[2,7,9]";"1";"0";"1"
"162";"4";"11";"1";"7";"1";"1";"2";"1";"[2,4,9,10]";"2";"0";"1"
"163";"25";"11";"1";"2";"1";"1";"2";"1";"[1,5,6,7,8,9,10]";"1";"0";"1"
"164";"8";"42";"1";"7";"3";"1";"2";"2";"[2,4,9,10]";"2";"0";"1"
"165";"14";"42";"1";"7";"2";"1";"2";"1";"[2,4,9,10]";"1";"0";"1"
"166";"16";"42";"1";"10";"2";"1";"2";"2";"[2,7,9]";"2";"0";"1"
"167";"11";"43";"1";"9";"4";"1";"2";"2";"[1,2,3,7,10]";"1";"0";"1"
"168";"9";"43";"1";"10";"4";"1";"2";"1";"[2,7,9]";"1";"0";"1"
"169";"4";"12";"1";"7";"1";"1";"2";"1";"[2,4,9,10]";"2";"0";"1"
"170";"24";"12";"1";"6";"1";"1";"2";"1";"[2,3,5,8]";"1";"0";"1"
"171";"16";"44";"1";"10";"2";"1";"2";"2";"[2,7,9]";"2";"0";"1"
"172";"1";"44";"1";"8";"4";"1";"2";"1";"[1,2,6]";"1";"0";"1"
"173";"29";"13";"1";"3";"1";"1";"2";"2";"[1,4,6,9]";"2";"0";"1"
"174";"12";"44";"1";"1";"3";"1";"2";"2";"[2,3,5,8,9]";"1";"0";"1"
"175";"2";"44";"1";"5";"3";"1";"2";"2";"[1,2,6]";"1";"0";"1"
"176";"24";"13";"1";"6";"1";"1";"2";"1";"[2,3,5,8]";"1";"0";"1"
"177";"21";"13";"1";"10";"1";"1";"2";"1";"[2,7,9]";"2";"0";"1"
"178";"13";"45";"1";"10";"3";"1";"2";"2";"[2,7,9]";"2";"0";"1"
"179";"1";"45";"1";"8";"4";"1";"2";"1";"[1,2,6]";"1";"0";"1"
"180";"10";"45";"1";"8";"3";"1";"2";"2";"[1,2,6]";"1";"0";"1"
"181";"29";"14";"1";"3";"1";"1";"2";"2";"[1,4,6,9]";"2";"0";"1"
"182";"12";"45";"1";"1";"3";"1";"2";"2";"[2,3,5,8,9]";"1";"0";"1"
"183";"2";"45";"1";"5";"3";"1";"2";"2";"[1,2,6]";"1";"0";"1"
"184";"21";"14";"1";"10";"1";"1";"2";"1";"[2,7,9]";"2";"0";"1"
"185";"34";"14";"1";"8";"1";"1";"2";"2";"[1,2,6]";"2";"0";"1"
"186";"13";"46";"1";"10";"3";"1";"2";"2";"[2,7,9]";"2";"0";"1"
"187";"10";"46";"1";"8";"3";"1";"2";"2";"[1,2,6]";"1";"0";"1"
"188";"31";"46";"1";"2";"2";"1";"2";"1";"[1,5,6,7,8,9,10]";"1";"0";"1"
"189";"7";"46";"1";"5";"4";"1";"2";"1";"[1,2,6]";"1";"0";"1"
"190";"34";"15";"1";"8";"1";"1";"2";"2";"[1,2,6]";"2";"0";"1"
"191";"31";"47";"1";"2";"2";"1";"2";"1";"[1,5,6,7,8,9,10]";"1";"0";"1"
"192";"7";"47";"1";"5";"4";"1";"2";"1";"[1,2,6]";"1";"0";"1"
"193";"40";"50";"1";"3";"2";"1";"2";"1";"[1,4,6,9]";"1";"0";"1"
"194";"32";"51";"1";"1";"2";"1";"2";"2";"[2,3,5,8,9]";"2";"0";"1"
"195";"40";"51";"1";"3";"2";"1";"2";"1";"[1,4,6,9]";"1";"0";"1"
"196";"32";"52";"1";"1";"2";"1";"2";"2";"[2,3,5,8,9]";"2";"0";"1"
"197";"3";"21";"1";"1";"1";"1";"2";"2";"[2,3,5,8,9]";"1";"0";"1"
"198";"3";"22";"1";"1";"1";"1";"2";"2";"[2,3,5,8,9]";"1";"0";"1"
"199";"22";"53";"1";"8";"2";"1";"2";"2";"[1,2,6]";"2";"0";"1"
"200";"19";"54";"1";"7";"4";"1";"2";"1";"[2,4,9,10]";"1";"2";"1"
"201";"22";"54";"1";"8";"2";"1";"2";"2";"[1,2,6]";"2";"0";"1"
"202";"33";"56";"1";"6";"2";"1";"3";"1";"[2,3,5,8]";"1";"0";"1"
"203";"30";"56";"1";"2";"4";"1";"3";"1";"[1,5,6,7,8,9,10]";"1";"0";"1"
"204";"23";"3";"1";"5";"1";"1";"3";"1";"[1,2,6]";"1";"0";"1"
"205";"35";"57";"1";"3";"4";"1";"3";"1";"[1,4,6,9]";"1";"0";"1"
"206";"33";"57";"1";"6";"2";"1";"3";"1";"[2,3,5,8]";"1";"0";"1"
"207";"1";"57";"1";"8";"4";"1";"3";"1";"[1,2,6]";"1";"0";"1"
