"id";"id_subj";"time";"session";"id_grp";"grp";"round";"period";"sig";"links";"choice";"hist";"active"
"1";"1";"0";"1";"16";"1";"1";"1";"1";"[1,3,8,21,24]";"0";"0";"1"
"2";"40";"0";"1";"23";"1";"1";"1";"1";"[18,27,40]";"0";"0";"1"
"3";"21";"0";"1";"24";"1";"1";"1";"1";"[16,27,28,36]";"0";"0";"1"
"4";"28";"0";"1";"30";"1";"1";"1";"2";"[13]";"0";"0";"1"
"5";"25";"0";"1";"5";"1";"1";"1";"1";"[6,11,21,31]";"0";"0";"1"
"6";"15";"0";"1";"25";"1";"1";"1";"1";"[4,15,17,20,26]";"0";"0";"1"
"7";"33";"0";"1";"6";"1";"1";"1";"1";"[5,26,32]";"0";"0";"1"
"8";"3";"0";"1";"32";"1";"1";"1";"1";"[6,21,26,33,36]";"0";"0";"1"
"9";"17";"0";"1";"15";"1";"1";"1";"2";"[2,3,11,25]";"0";"0";"1"
"10";"6";"0";"1";"21";"1";"1";"1";"1";"[5,13,16,26,28,31,32,33,36]";"0";"0";"1"
"11";"31";"0";"1";"33";"1";"1";"1";"1";"[10,21,32,37]";"0";"0";"1"
"12";"37";"0";"1";"26";"1";"1";"1";"1";"[6,11,19,21,22,25,28,32,40]";"0";"0";"1"
"13";"23";"0";"1";"29";"1";"1";"1";"1";"[3,9,12,31,39]";"0";"0";"1"
"14";"30";"0";"1";"11";"1";"1";"1";"1";"[5,15,26,35]";"0";"0";"1"
"15";"11";"0";"1";"12";"1";"1";"1";"1";"[10,29]";"0";"0";"1"
"16";"10";"0";"1";"4";"1";"1";"1";"2";"[1,14,17,25]";"0";"0";"1"
"17";"9";"0";"1";"31";"1";"1";"1";"2";"[5,21,29]";"0";"0";"1"
"18";"27";"0";"1";"27";"1";"1";"1";"1";"[19,22,23,24,37]";"0";"0";"1"
"19";"5";"0";"1";"38";"1";"1";"1";"1";"[10,17]";"0";"0";"1"
"20";"7";"0";"1";"22";"1";"1";"1";"2";"[14,26,27,39]";"0";"0";"1"
"21";"32";"0";"1";"17";"1";"1";"1";"1";"[1,4,7,14,18,25,28,38]";"0";"0";"1"
"22";"38";"0";"1";"8";"1";"1";"1";"2";"[7,14,16]";"0";"0";"1"
"23";"29";"0";"1";"20";"1";"1";"1";"2";"[3,7,25]";"0";"0";"1"
"24";"20";"0";"1";"1";"1";"1";"1";"1";"[4,16,17]";"0";"0";"1"
"25";"12";"0";"1";"14";"1";"1";"1";"1";"[4,8,17,22,37,40]";"0";"0";"1"
"26";"18";"0";"1";"10";"1";"1";"1";"1";"[12,19,28,33,38]";"0";"0";"1"
"27";"19";"0";"1";"34";"1";"1";"1";"1";"[28]";"0";"0";"1"
"28";"14";"0";"1";"36";"1";"1";"1";"1";"[2,21,24,32]";"0";"0";"1"
"29";"8";"0";"1";"18";"1";"1";"1";"1";"[17,23]";"0";"0";"1"
"30";"24";"0";"1";"7";"1";"1";"1";"1";"[3,8,17,20]";"0";"0";"1"
"31";"26";"0";"1";"2";"1";"1";"1";"1";"[15,36,39]";"0";"0";"1"
"32";"34";"0";"1";"39";"1";"1";"1";"2";"[2,19,22,29]";"0";"0";"1"
"33";"36";"0";"1";"40";"1";"1";"1";"2";"[3,14,23,26]";"0";"0";"1"
"34";"35";"0";"1";"9";"1";"1";"1";"1";"[29,35]";"0";"0";"1"
"35";"4";"0";"1";"28";"1";"1";"1";"1";"[10,17,21,24,26,34]";"0";"0";"1"
"36";"39";"0";"1";"37";"1";"1";"1";"1";"[14,27,33]";"0";"0";"1"
"37";"22";"0";"1";"13";"1";"1";"1";"2";"[21,30]";"0";"0";"1"
"38";"13";"0";"1";"35";"1";"1";"1";"1";"[9,11]";"0";"0";"1"
"39";"16";"0";"1";"19";"1";"1";"1";"2";"[10,26,27,39]";"0";"0";"1"
"40";"2";"0";"1";"3";"1";"1";"1";"2";"[7,15,16,20,29,40]";"0";"0";"1"
"41";"40";"3";"1";"23";"1";"1";"1";"1";"[18,27,40]";"1";"0";"1"
"42";"40";"4";"1";"23";"1";"1";"1";"1";"[18,27,40]";"1";"0";"1"
"43";"15";"4";"1";"25";"1";"1";"1";"1";"[4,15,17,20,26]";"1";"0";"1"
"44";"10";"4";"1";"4";"1";"1";"1";"2";"[1,14,17,25]";"1";"0";"1"
"45";"15";"5";"1";"25";"1";"1";"1";"1";"[4,15,17,20,26]";"1";"0";"1"
"46";"21";"5";"1";"24";"1";"1";"1";"1";"[16,27,28,36]";"1";"0";"1"
