"id";"id_subj";"time";"session";"id_grp";"grp";"round";"period";"sig";"links";"choice";"hist";"active"
"1";"2";"0";"1";"7";"4";"1";"1";"0";"[2,4,9,10]";"0";"0";"1"
"2";"34";"0";"1";"7";"1";"1";"1";"0";"[2,4,9,10]";"0";"0";"1"
"3";"1";"0";"1";"2";"2";"1";"1";"1";"[1,5,6,7,8,9,10]";"0";"0";"1"
"4";"23";"0";"1";"10";"4";"1";"1";"2";"[2,7,9]";"0";"0";"1"
"5";"3";"0";"1";"4";"4";"1";"1";"1";"[3,7]";"0";"0";"1"
"6";"4";"0";"1";"1";"4";"1";"1";"0";"[2,3,5,8,9]";"0";"0";"1"
"7";"16";"0";"1";"2";"1";"1";"1";"1";"[1,5,6,7,8,9,10]";"0";"0";"1"
"8";"19";"0";"1";"2";"4";"1";"1";"2";"[1,5,6,7,8,9,10]";"0";"0";"1"
"9";"25";"0";"1";"9";"2";"1";"1";"2";"[1,2,3,7,10]";"0";"0";"1"
"10";"18";"0";"1";"1";"2";"1";"1";"1";"[2,3,5,8,9]";"0";"0";"1"
"11";"11";"0";"1";"4";"3";"1";"1";"0";"[3,7]";"0";"0";"1"
"12";"9";"0";"1";"7";"3";"1";"1";"1";"[2,4,9,10]";"0";"0";"1"
"13";"35";"0";"1";"6";"2";"1";"1";"2";"[2,3,5,8]";"0";"0";"1"
"14";"33";"0";"1";"6";"4";"1";"1";"1";"[2,3,5,8]";"0";"0";"1"
"15";"15";"0";"1";"7";"2";"1";"1";"2";"[2,4,9,10]";"0";"0";"1"
"16";"24";"0";"1";"6";"1";"1";"1";"0";"[2,3,5,8]";"0";"0";"1"
"17";"12";"0";"1";"5";"4";"1";"1";"2";"[1,2,6]";"0";"0";"1"
"18";"29";"0";"1";"3";"3";"1";"1";"2";"[1,4,6,9]";"0";"0";"1"
"19";"38";"0";"1";"9";"4";"1";"1";"2";"[1,2,3,7,10]";"0";"0";"1"
"20";"26";"0";"1";"8";"3";"1";"1";"2";"[1,2,6]";"0";"0";"1"
"21";"20";"0";"1";"8";"4";"1";"1";"2";"[1,2,6]";"0";"0";"1"
"22";"8";"0";"1";"4";"2";"1";"1";"2";"[3,7]";"0";"0";"1"
"23";"7";"0";"1";"9";"3";"1";"1";"0";"[1,2,3,7,10]";"0";"0";"1"
