"id";"id_subj";"time";"session";"id_grp";"grp";"round";"period";"sig";"links";"choice";"hist";"active"
"1";"29";"0";"1";"7";"2";"1";"1";"1";"[1,2,3,8]";"0";"0";"1"
"2";"3";"0";"1";"1";"4";"1";"1";"1";"[2,3]";"0";"0";"1"
"3";"38";"0";"1";"2";"2";"1";"1";"1";"[1,3]";"0";"0";"1"
"4";"32";"0";"1";"3";"2";"1";"1";"1";"[1,2,4]";"0";"0";"1"
"5";"15";"0";"1";"3";"3";"1";"1";"1";"[1,2,4]";"0";"0";"1"
"6";"37";"0";"1";"1";"3";"1";"1";"2";"[2,3]";"0";"0";"1"
"7";"11";"0";"1";"7";"3";"1";"1";"2";"[1,2,3,8]";"0";"0";"1"
"8";"36";"0";"1";"9";"3";"1";"1";"2";"[1,2,3,10]";"0";"0";"1"
"9";"19";"0";"1";"10";"2";"1";"1";"2";"[1,2,3]";"0";"0";"1"
"10";"9";"0";"1";"4";"4";"1";"1";"1";"[1,2,3,5]";"0";"0";"1"
"11";"31";"0";"1";"4";"2";"1";"1";"2";"[1,2,3,5]";"0";"0";"1"
"12";"34";"0";"1";"5";"4";"1";"1";"1";"[1,2,3,6]";"0";"0";"1"
"13";"25";"0";"1";"10";"4";"1";"1";"1";"[1,2,3]";"0";"0";"1"
"14";"21";"0";"1";"4";"3";"1";"1";"2";"[1,2,3,5]";"0";"0";"1"
"15";"14";"0";"1";"8";"1";"1";"1";"2";"[1,2,3,9]";"0";"0";"1"
"16";"17";"0";"1";"6";"3";"1";"1";"2";"[1,2,3,7]";"0";"0";"1"
"17";"22";"0";"1";"7";"4";"1";"1";"1";"[1,2,3,8]";"0";"0";"1"
"18";"26";"0";"1";"6";"4";"1";"1";"1";"[1,2,3,7]";"0";"0";"1"
"19";"6";"0";"1";"9";"2";"1";"1";"1";"[1,2,3,10]";"0";"0";"1"
"20";"10";"0";"1";"9";"4";"1";"1";"2";"[1,2,3,10]";"0";"0";"1"
"21";"40";"0";"1";"10";"1";"1";"1";"1";"[1,2,3]";"0";"0";"1"
"22";"30";"0";"1";"7";"1";"1";"1";"1";"[1,2,3,8]";"0";"0";"1"
"23";"23";"0";"1";"5";"1";"1";"1";"1";"[1,2,3,6]";"0";"0";"1"
"24";"33";"0";"1";"9";"1";"1";"1";"1";"[1,2,3,10]";"0";"0";"1"
"25";"8";"0";"1";"5";"2";"1";"1";"2";"[1,2,3,6]";"0";"0";"1"
"26";"2";"0";"1";"1";"2";"1";"1";"2";"[2,3]";"0";"0";"1"
"27";"39";"0";"1";"1";"1";"1";"1";"2";"[2,3]";"0";"0";"1"
"28";"13";"0";"1";"2";"4";"1";"1";"1";"[1,3]";"0";"0";"1"
"29";"24";"0";"1";"8";"3";"1";"1";"2";"[1,2,3,9]";"0";"0";"1"
