"id";"id_subj";"time";"session";"id_grp";"grp";"round";"period";"sig";"links";"choice";"hist";"active"
"1";"11";"0";"1";"21";"1";"1";"1";"1";"[1,2,3,22]";"0";"0";"1"
"2";"31";"0";"1";"15";"1";"1";"1";"2";"[1,2,3,16]";"0";"0";"1"
"3";"34";"0";"1";"12";"1";"1";"1";"1";"[1,2,3,13]";"0";"0";"1"
"4";"35";"0";"1";"36";"1";"1";"1";"1";"[1,2,3,37]";"0";"0";"1"
"5";"28";"0";"1";"25";"1";"1";"1";"1";"[1,2,3,26]";"0";"0";"1"
"6";"5";"0";"1";"29";"1";"1";"1";"1";"[1,2,3,30]";"0";"0";"1"
"7";"27";"0";"1";"40";"1";"1";"1";"2";"[1,2,3]";"0";"0";"1"
"8";"36";"0";"1";"39";"1";"1";"1";"2";"[1,2,3,40]";"0";"0";"1"
"9";"25";"0";"1";"18";"1";"1";"1";"1";"[1,2,3,19]";"0";"0";"1"
"10";"30";"0";"1";"10";"1";"1";"1";"1";"[1,2,3,11]";"0";"0";"1"
"11";"15";"0";"1";"30";"1";"1";"1";"2";"[1,2,3,31]";"0";"0";"1"
"12";"7";"0";"1";"2";"1";"1";"1";"1";"[1,3]";"0";"0";"1"
"13";"1";"0";"1";"23";"1";"1";"1";"1";"[1,2,3,24]";"0";"0";"1"
"14";"4";"0";"1";"19";"1";"1";"1";"2";"[1,2,3,20]";"0";"0";"1"
"15";"32";"0";"1";"20";"1";"1";"1";"2";"[1,2,3,21]";"0";"0";"1"
"16";"8";"0";"1";"16";"1";"1";"1";"1";"[1,2,3,17]";"0";"0";"1"
"17";"37";"0";"1";"34";"1";"1";"1";"1";"[1,2,3,35]";"0";"0";"1"
"18";"18";"0";"1";"28";"1";"1";"1";"1";"[1,2,3,29]";"0";"0";"1"
"19";"13";"0";"1";"1";"1";"1";"1";"1";"[2,3]";"0";"0";"1"
"20";"6";"0";"1";"4";"1";"1";"1";"2";"[1,2,3,5]";"0";"0";"1"
"21";"16";"0";"1";"9";"1";"1";"1";"1";"[1,2,3,10]";"0";"0";"1"
"22";"24";"0";"1";"11";"1";"1";"1";"1";"[1,2,3,12]";"0";"0";"1"
"23";"22";"0";"1";"26";"1";"1";"1";"1";"[1,2,3,27]";"0";"0";"1"
"24";"12";"0";"1";"6";"1";"1";"1";"1";"[1,2,3,7]";"0";"0";"1"
"25";"26";"0";"1";"31";"1";"1";"1";"2";"[1,2,3,32]";"0";"0";"1"
"26";"2";"0";"1";"22";"1";"1";"1";"2";"[1,2,3,23]";"0";"0";"1"
"27";"33";"0";"1";"37";"1";"1";"1";"1";"[1,2,3,38]";"0";"0";"1"
"28";"39";"0";"1";"27";"1";"1";"1";"1";"[1,2,3,28]";"0";"0";"1"
"29";"10";"0";"1";"14";"1";"1";"1";"1";"[1,2,3,15]";"0";"0";"1"
"30";"9";"0";"1";"7";"1";"1";"1";"1";"[1,2,3,8]";"0";"0";"1"
"31";"3";"0";"1";"35";"1";"1";"1";"1";"[1,2,3,36]";"0";"0";"1"
"32";"19";"0";"1";"33";"1";"1";"1";"1";"[1,2,3,34]";"0";"0";"1"
"33";"23";"0";"1";"8";"1";"1";"1";"2";"[1,2,3,9]";"0";"0";"1"
"34";"40";"0";"1";"17";"1";"1";"1";"1";"[1,2,3,18]";"0";"0";"1"
"35";"14";"0";"1";"13";"1";"1";"1";"2";"[1,2,3,14]";"0";"0";"1"
"36";"38";"0";"1";"3";"1";"1";"1";"2";"[1,2,4]";"0";"0";"1"
"37";"29";"0";"1";"5";"1";"1";"1";"1";"[1,2,3,6]";"0";"0";"1"
"38";"17";"0";"1";"38";"1";"1";"1";"1";"[1,2,3,39]";"0";"0";"1"
"39";"20";"0";"1";"32";"1";"1";"1";"1";"[1,2,3,33]";"0";"0";"1"
"40";"21";"0";"1";"24";"1";"1";"1";"1";"[1,2,3,25]";"0";"0";"1"
"41";"35";"5";"1";"36";"1";"1";"1";"1";"[1,2,3,37]";"1";"0";"1"
"42";"6";"5";"1";"4";"1";"1";"1";"2";"[1,2,3,5]";"2";"0";"1"
"43";"32";"5";"1";"20";"1";"1";"1";"2";"[1,2,3,21]";"2";"0";"1"
"44";"37";"5";"1";"34";"1";"1";"1";"1";"[1,2,3,35]";"2";"0";"1"
"45";"2";"5";"1";"22";"1";"1";"1";"2";"[1,2,3,23]";"2";"0";"1"
"46";"35";"6";"1";"36";"1";"1";"1";"1";"[1,2,3,37]";"1";"0";"1"
"47";"9";"6";"1";"7";"1";"1";"1";"1";"[1,2,3,8]";"1";"0";"1"
"48";"6";"6";"1";"4";"1";"1";"1";"2";"[1,2,3,5]";"2";"0";"1"
"49";"1";"6";"1";"23";"1";"1";"1";"1";"[1,2,3,24]";"1";"0";"1"
"50";"32";"6";"1";"20";"1";"1";"1";"2";"[1,2,3,21]";"2";"0";"1"
"51";"37";"6";"1";"34";"1";"1";"1";"1";"[1,2,3,35]";"2";"0";"1"
"52";"4";"6";"1";"19";"1";"1";"1";"2";"[1,2,3,20]";"2";"0";"1"
"53";"5";"6";"1";"29";"1";"1";"1";"1";"[1,2,3,30]";"1";"0";"1"
"54";"27";"6";"1";"40";"1";"1";"1";"2";"[1,2,3]";"2";"0";"1"
"55";"2";"6";"1";"22";"1";"1";"1";"2";"[1,2,3,23]";"2";"0";"1"
"56";"9";"7";"1";"7";"1";"1";"1";"1";"[1,2,3,8]";"1";"0";"1"
"57";"1";"7";"1";"23";"1";"1";"1";"1";"[1,2,3,24]";"1";"0";"1"
"58";"4";"7";"1";"19";"1";"1";"1";"2";"[1,2,3,20]";"2";"0";"1"
"59";"27";"7";"1";"40";"1";"1";"1";"2";"[1,2,3]";"2";"0";"1"
"60";"5";"7";"1";"29";"1";"1";"1";"1";"[1,2,3,30]";"1";"0";"1"
"61";"33";"7";"1";"37";"1";"1";"1";"1";"[1,2,3,38]";"1";"0";"1"
"62";"29";"7";"1";"5";"1";"1";"1";"1";"[1,2,3,6]";"1";"0";"1"
"63";"33";"8";"1";"37";"1";"1";"1";"1";"[1,2,3,38]";"1";"0";"1"
"64";"38";"8";"1";"3";"1";"1";"1";"2";"[1,2,4]";"2";"0";"1"
"65";"29";"8";"1";"5";"1";"1";"1";"1";"[1,2,3,6]";"1";"0";"1"
"66";"16";"9";"1";"9";"1";"1";"1";"1";"[1,2,3,10]";"1";"0";"1"
"67";"3";"9";"1";"35";"1";"1";"1";"1";"[1,2,3,36]";"1";"0";"1"
"68";"21";"9";"1";"24";"1";"1";"1";"1";"[1,2,3,25]";"1";"0";"1"
"69";"20";"9";"1";"32";"1";"1";"1";"1";"[1,2,3,33]";"1";"0";"1"
"70";"19";"9";"1";"33";"1";"1";"1";"1";"[1,2,3,34]";"1";"0";"1"
"71";"38";"9";"1";"3";"1";"1";"1";"2";"[1,2,4]";"2";"0";"1"
"72";"36";"10";"1";"39";"1";"1";"1";"2";"[1,2,3,40]";"2";"0";"1"
"73";"16";"10";"1";"9";"1";"1";"1";"1";"[1,2,3,10]";"1";"0";"1"
"74";"3";"10";"1";"35";"1";"1";"1";"1";"[1,2,3,36]";"1";"0";"1"
"75";"24";"10";"1";"11";"1";"1";"1";"1";"[1,2,3,12]";"1";"0";"1"
"76";"21";"10";"1";"24";"1";"1";"1";"1";"[1,2,3,25]";"1";"0";"1"
"77";"20";"10";"1";"32";"1";"1";"1";"1";"[1,2,3,33]";"1";"0";"1"
"78";"26";"10";"1";"31";"1";"1";"1";"2";"[1,2,3,32]";"2";"0";"1"
