"id";"id_subj";"time";"session";"id_grp";"grp";"round";"period";"sig";"links";"choice";"hist";"active"
"1";"23";"0";"1";"6";"1";"1";"1";"0";"[1,2,3,7]";"0";"0";"1"
"2";"12";"0";"1";"4";"1";"1";"1";"2";"[1,2,3,5]";"0";"0";"1"
"3";"38";"0";"1";"5";"3";"1";"1";"0";"[1,2,3,6]";"0";"0";"1"
"4";"29";"0";"1";"1";"3";"1";"1";"0";"[2,3]";"0";"0";"1"
"5";"5";"0";"1";"5";"2";"1";"1";"0";"[1,2,3,6]";"0";"0";"1"
"6";"27";"0";"1";"3";"2";"1";"1";"2";"[1,2,4]";"0";"0";"1"
"7";"21";"0";"1";"2";"3";"1";"1";"1";"[1,3]";"0";"0";"1"
"8";"20";"0";"1";"6";"2";"1";"1";"2";"[1,2,3,7]";"0";"0";"1"
"9";"1";"0";"1";"4";"4";"1";"1";"1";"[1,2,3,5]";"0";"0";"1"
"10";"34";"0";"1";"7";"2";"1";"1";"2";"[1,2,3,8]";"0";"0";"1"
"11";"35";"0";"1";"8";"3";"1";"1";"2";"[1,2,3,9]";"0";"0";"1"
"12";"11";"0";"1";"9";"4";"1";"1";"2";"[1,2,3,10]";"0";"0";"1"
"13";"25";"0";"1";"6";"3";"1";"1";"0";"[1,2,3,7]";"0";"0";"1"
"14";"30";"0";"1";"1";"4";"1";"1";"0";"[2,3]";"0";"0";"1"
"15";"22";"0";"1";"7";"3";"1";"1";"1";"[1,2,3,8]";"0";"0";"1"
"16";"4";"0";"1";"3";"3";"1";"1";"2";"[1,2,4]";"0";"0";"1"
"17";"15";"0";"1";"8";"1";"1";"1";"0";"[1,2,3,9]";"0";"0";"1"
"18";"33";"0";"1";"9";"1";"1";"1";"1";"[1,2,3,10]";"0";"0";"1"
"19";"10";"0";"1";"4";"3";"1";"1";"0";"[1,2,3,5]";"0";"0";"1"
"20";"8";"0";"1";"3";"4";"1";"1";"0";"[1,2,4]";"0";"0";"1"
"21";"31";"0";"1";"8";"2";"1";"1";"2";"[1,2,3,9]";"0";"0";"1"
"22";"28";"0";"1";"10";"3";"1";"1";"1";"[1,2,3]";"0";"0";"1"
"23";"39";"0";"1";"8";"4";"1";"1";"2";"[1,2,3,9]";"0";"0";"1"
"24";"16";"0";"1";"2";"2";"1";"1";"1";"[1,3]";"0";"0";"1"
"25";"3";"0";"1";"3";"1";"1";"1";"1";"[1,2,4]";"0";"0";"1"
"26";"6";"0";"1";"7";"1";"1";"1";"0";"[1,2,3,8]";"0";"0";"1"
"27";"7";"0";"1";"4";"2";"1";"1";"2";"[1,2,3,5]";"0";"0";"1"
"28";"26";"0";"1";"2";"4";"1";"1";"2";"[1,3]";"0";"0";"1"
"29";"14";"0";"1";"10";"1";"1";"1";"1";"[1,2,3]";"0";"0";"1"
"30";"13";"0";"1";"5";"4";"1";"1";"2";"[1,2,3,6]";"0";"0";"1"
"31";"36";"0";"1";"10";"2";"1";"1";"2";"[1,2,3]";"0";"0";"1"
"32";"2";"0";"1";"9";"2";"1";"1";"2";"[1,2,3,10]";"0";"0";"1"
"33";"9";"0";"1";"7";"4";"1";"1";"0";"[1,2,3,8]";"0";"0";"1"
"34";"32";"0";"1";"6";"4";"1";"1";"1";"[1,2,3,7]";"0";"0";"1"
"35";"19";"0";"1";"9";"3";"1";"1";"0";"[1,2,3,10]";"0";"0";"1"
"36";"17";"0";"1";"1";"1";"1";"1";"0";"[2,3]";"0";"0";"1"
"37";"40";"0";"1";"1";"2";"1";"1";"1";"[2,3]";"0";"0";"1"
"38";"18";"0";"1";"2";"1";"1";"1";"1";"[1,3]";"0";"0";"1"
"39";"37";"0";"1";"10";"4";"1";"1";"2";"[1,2,3]";"0";"0";"1"
"40";"24";"0";"1";"5";"1";"1";"1";"1";"[1,2,3,6]";"0";"0";"1"
"41";"20";"4";"1";"6";"2";"1";"1";"2";"[1,2,3,7]";"2";"0";"1"
"42";"34";"5";"1";"7";"2";"1";"1";"2";"[1,2,3,8]";"2";"0";"1"
"43";"22";"5";"1";"7";"3";"1";"1";"1";"[1,2,3,8]";"1";"0";"1"
"44";"20";"5";"1";"6";"2";"1";"1";"2";"[1,2,3,7]";"2";"0";"1"
"45";"34";"6";"1";"7";"2";"1";"1";"2";"[1,2,3,8]";"2";"0";"1"
"46";"22";"6";"1";"7";"3";"1";"1";"1";"[1,2,3,8]";"1";"0";"1"
"47";"11";"7";"1";"9";"4";"1";"1";"2";"[1,2,3,10]";"2";"0";"1"
"48";"32";"7";"1";"6";"4";"1";"1";"1";"[1,2,3,7]";"1";"0";"1"
"49";"21";"8";"1";"2";"3";"1";"1";"1";"[1,3]";"1";"0";"1"
"50";"11";"8";"1";"9";"4";"1";"1";"2";"[1,2,3,10]";"2";"0";"1"
"51";"16";"8";"1";"2";"2";"1";"1";"1";"[1,3]";"2";"0";"1"
"52";"36";"8";"1";"10";"2";"1";"1";"2";"[1,2,3]";"2";"0";"1"
"53";"31";"8";"1";"8";"2";"1";"1";"2";"[1,2,3,9]";"1";"0";"1"
"54";"24";"8";"1";"5";"1";"1";"1";"1";"[1,2,3,6]";"1";"0";"1"
"55";"27";"8";"1";"3";"2";"1";"1";"2";"[1,2,4]";"2";"0";"1"
"56";"32";"8";"1";"6";"4";"1";"1";"1";"[1,2,3,7]";"1";"0";"1"
"57";"21";"9";"1";"2";"3";"1";"1";"1";"[1,3]";"1";"0";"1"
"58";"30";"9";"1";"1";"4";"1";"1";"0";"[2,3]";"2";"0";"1"
"59";"16";"9";"1";"2";"2";"1";"1";"1";"[1,3]";"2";"0";"1"
