"id";"id_subj";"time";"session";"id_grp";"grp";"round";"period";"sig";"links";"choice";"hist";"active"
"1";"9";"0";"1";"10";"2";"1";"1";"2";"[1,2,3,6,8,9]";"0";"0";"1"
"2";"5";"0";"1";"3";"1";"1";"1";"2";"[8,10]";"0";"0";"1"
"3";"23";"0";"1";"6";"4";"1";"1";"1";"[2,5,8,10]";"0";"0";"1"
"4";"11";"0";"1";"8";"1";"1";"1";"2";"[2,3,4,6,10]";"0";"0";"1"
"5";"20";"0";"1";"7";"1";"1";"1";"1";"[2,4,9]";"0";"0";"1"
"6";"30";"0";"1";"6";"3";"1";"1";"2";"[2,5,8,10]";"0";"0";"1"
"7";"26";"0";"1";"7";"2";"1";"1";"1";"[2,4,9]";"0";"0";"1"
"8";"33";"0";"1";"9";"1";"1";"1";"1";"[2,7,10]";"0";"0";"1"
"9";"17";"0";"1";"4";"1";"1";"1";"2";"[7,8]";"0";"0";"1"
"10";"31";"0";"1";"1";"3";"1";"1";"2";"[5,10]";"0";"0";"1"
"11";"35";"0";"1";"1";"2";"1";"1";"2";"[5,10]";"0";"0";"1"
"12";"34";"0";"1";"5";"4";"1";"1";"1";"[1,6]";"0";"0";"1"
"13";"37";"0";"1";"10";"4";"1";"1";"1";"[1,2,3,6,8,9]";"0";"0";"1"
"14";"1";"0";"1";"7";"3";"1";"1";"2";"[2,4,9]";"0";"0";"1"
"15";"24";"0";"1";"4";"2";"1";"1";"2";"[7,8]";"0";"0";"1"
"16";"28";"0";"1";"9";"4";"1";"1";"2";"[2,7,10]";"0";"0";"1"
"17";"39";"0";"1";"10";"1";"1";"1";"1";"[1,2,3,6,8,9]";"0";"0";"1"
"18";"14";"0";"1";"5";"2";"1";"1";"2";"[1,6]";"0";"0";"1"
"19";"18";"0";"1";"2";"3";"1";"1";"1";"[6,7,8,9,10]";"0";"0";"1"
"20";"22";"0";"1";"5";"1";"1";"1";"1";"[1,6]";"0";"0";"1"
"21";"2";"0";"1";"10";"3";"1";"1";"2";"[1,2,3,6,8,9]";"0";"0";"1"
"22";"36";"0";"1";"2";"1";"1";"1";"1";"[6,7,8,9,10]";"0";"0";"1"
"23";"25";"0";"1";"7";"4";"1";"1";"1";"[2,4,9]";"0";"0";"1"
"24";"7";"0";"1";"2";"2";"1";"1";"1";"[6,7,8,9,10]";"0";"0";"1"
"25";"21";"0";"1";"8";"4";"1";"1";"1";"[2,3,4,6,10]";"0";"0";"1"
"26";"40";"0";"1";"4";"3";"1";"1";"2";"[7,8]";"0";"0";"1"
"27";"19";"0";"1";"1";"4";"1";"1";"1";"[5,10]";"0";"0";"1"
"28";"32";"0";"1";"6";"1";"1";"1";"1";"[2,5,8,10]";"0";"0";"1"
"29";"15";"0";"1";"4";"4";"1";"1";"1";"[7,8]";"0";"0";"1"
"30";"29";"0";"1";"1";"1";"1";"1";"2";"[5,10]";"0";"0";"1"
"31";"4";"0";"1";"3";"3";"1";"1";"1";"[8,10]";"0";"0";"1"
"32";"16";"0";"1";"9";"2";"1";"1";"1";"[2,7,10]";"0";"0";"1"
"33";"12";"0";"1";"5";"3";"1";"1";"2";"[1,6]";"0";"0";"1"
"34";"3";"0";"1";"8";"3";"1";"1";"2";"[2,3,4,6,10]";"0";"0";"1"
"35";"13";"0";"1";"8";"2";"1";"1";"2";"[2,3,4,6,10]";"0";"0";"1"
"36";"27";"0";"1";"3";"4";"1";"1";"1";"[8,10]";"0";"0";"1"
"37";"10";"0";"1";"9";"3";"1";"1";"2";"[2,7,10]";"0";"0";"1"
"38";"8";"0";"1";"3";"2";"1";"1";"1";"[8,10]";"0";"0";"1"
"39";"6";"0";"1";"6";"2";"1";"1";"1";"[2,5,8,10]";"0";"0";"1"
"40";"38";"0";"1";"2";"4";"1";"1";"1";"[6,7,8,9,10]";"0";"0";"1"
"41";"5";"4";"1";"3";"1";"1";"1";"2";"[8,10]";"2";"0";"1"
"42";"5";"5";"1";"3";"1";"1";"1";"2";"[8,10]";"2";"0";"1"
"43";"7";"5";"1";"2";"2";"1";"1";"1";"[6,7,8,9,10]";"1";"0";"1"
"44";"14";"5";"1";"5";"2";"1";"1";"2";"[1,6]";"2";"0";"1"
"45";"16";"6";"1";"9";"2";"1";"1";"1";"[2,7,10]";"1";"0";"1"
"46";"7";"6";"1";"2";"2";"1";"1";"1";"[6,7,8,9,10]";"1";"0";"1"
"47";"23";"6";"1";"6";"4";"1";"1";"1";"[2,5,8,10]";"1";"0";"1"
"48";"8";"7";"1";"3";"2";"1";"1";"1";"[8,10]";"1";"0";"1"
"49";"14";"7";"1";"5";"2";"1";"1";"2";"[1,6]";"2";"0";"1"
"50";"17";"7";"1";"4";"1";"1";"1";"2";"[7,8]";"2";"0";"1"
"51";"6";"7";"1";"6";"2";"1";"1";"1";"[2,5,8,10]";"1";"0";"1"
"52";"28";"7";"1";"9";"4";"1";"1";"2";"[2,7,10]";"2";"0";"1"
"53";"16";"7";"1";"9";"2";"1";"1";"1";"[2,7,10]";"1";"0";"1"
"54";"23";"7";"1";"6";"4";"1";"1";"1";"[2,5,8,10]";"1";"0";"1"
"55";"36";"7";"1";"2";"1";"1";"1";"1";"[6,7,8,9,10]";"1";"0";"1"
"56";"1";"7";"1";"7";"3";"1";"1";"2";"[2,4,9]";"2";"0";"1"
"57";"8";"8";"1";"3";"2";"1";"1";"1";"[8,10]";"1";"0";"1"
"58";"39";"8";"1";"10";"1";"1";"1";"1";"[1,2,3,6,8,9]";"1";"0";"1"
"59";"17";"8";"1";"4";"1";"1";"1";"2";"[7,8]";"2";"0";"1"
"60";"25";"8";"1";"7";"4";"1";"1";"1";"[2,4,9]";"1";"0";"1"
"61";"21";"8";"1";"8";"4";"1";"1";"1";"[2,3,4,6,10]";"1";"0";"1"
"62";"29";"8";"1";"1";"1";"1";"1";"2";"[5,10]";"2";"0";"1"
"63";"6";"8";"1";"6";"2";"1";"1";"1";"[2,5,8,10]";"1";"0";"1"
"64";"28";"8";"1";"9";"4";"1";"1";"2";"[2,7,10]";"2";"0";"1"
"65";"31";"8";"1";"1";"3";"1";"1";"2";"[5,10]";"1";"0";"1"
"66";"30";"8";"1";"6";"3";"1";"1";"2";"[2,5,8,10]";"2";"0";"1"
"67";"24";"8";"1";"4";"2";"1";"1";"2";"[7,8]";"2";"0";"1"
"68";"15";"8";"1";"4";"4";"1";"1";"1";"[7,8]";"1";"0";"1"
"69";"36";"8";"1";"2";"1";"1";"1";"1";"[6,7,8,9,10]";"1";"0";"1"
"70";"1";"8";"1";"7";"3";"1";"1";"2";"[2,4,9]";"2";"0";"1"
"71";"39";"9";"1";"10";"1";"1";"1";"1";"[1,2,3,6,8,9]";"1";"0";"1"
"72";"12";"9";"1";"5";"3";"1";"1";"2";"[1,6]";"2";"0";"1"
"73";"25";"9";"1";"7";"4";"1";"1";"1";"[2,4,9]";"1";"0";"1"
"74";"11";"9";"1";"8";"1";"1";"1";"2";"[2,3,4,6,10]";"2";"0";"1"
"75";"21";"9";"1";"8";"4";"1";"1";"1";"[2,3,4,6,10]";"1";"0";"1"
"76";"29";"9";"1";"1";"1";"1";"1";"2";"[5,10]";"2";"0";"1"
"77";"31";"9";"1";"1";"3";"1";"1";"2";"[5,10]";"1";"0";"1"
"78";"30";"9";"1";"6";"3";"1";"1";"2";"[2,5,8,10]";"2";"0";"1"
"79";"2";"9";"1";"10";"3";"1";"1";"2";"[1,2,3,6,8,9]";"2";"0";"1"
"80";"24";"9";"1";"4";"2";"1";"1";"2";"[7,8]";"2";"0";"1"
"81";"15";"9";"1";"4";"4";"1";"1";"1";"[7,8]";"1";"0";"1"
"82";"33";"9";"1";"9";"1";"1";"1";"1";"[2,7,10]";"1";"0";"1"
"83";"9";"9";"1";"10";"2";"1";"1";"2";"[1,2,3,6,8,9]";"2";"0";"1"
"84";"19";"9";"1";"1";"4";"1";"1";"1";"[5,10]";"1";"0";"1"
"85";"12";"10";"1";"5";"3";"1";"1";"2";"[1,6]";"2";"0";"1"
"86";"11";"10";"1";"8";"1";"1";"1";"2";"[2,3,4,6,10]";"2";"0";"1"
"87";"2";"10";"1";"10";"3";"1";"1";"2";"[1,2,3,6,8,9]";"2";"0";"1"
"88";"33";"10";"1";"9";"1";"1";"1";"1";"[2,7,10]";"1";"0";"1"
"89";"9";"10";"1";"10";"2";"1";"1";"2";"[1,2,3,6,8,9]";"2";"0";"1"
"90";"19";"10";"1";"1";"4";"1";"1";"1";"[5,10]";"1";"0";"1"
"91";"10";"11";"1";"9";"3";"1";"1";"2";"[2,7,10]";"2";"0";"1"
"92";"32";"11";"1";"6";"1";"1";"1";"1";"[2,5,8,10]";"2";"0";"1"
"93";"13";"11";"1";"8";"2";"1";"1";"2";"[2,3,4,6,10]";"2";"0";"1"
"94";"18";"11";"1";"2";"3";"1";"1";"1";"[6,7,8,9,10]";"1";"0";"1"
