"id";"id_subj";"time";"session";"id_grp";"grp";"round";"period";"sig";"links";"choice";"hist";"active"
"1";"37";"0";"1";"36";"1";"1";"1";"1";"[21,38,39]";"0";"0";"1"
"2";"27";"0";"1";"20";"1";"1";"1";"2";"[8,27,38]";"0";"0";"1"
"3";"39";"0";"1";"13";"1";"1";"1";"2";"[1,3,9,21,23,37]";"0";"0";"1"
"4";"2";"0";"1";"15";"1";"1";"1";"2";"[6,21,24,29,30,31,32,34]";"0";"0";"1"
"5";"40";"0";"1";"8";"1";"1";"1";"2";"[6,20]";"0";"0";"1"
"6";"38";"0";"1";"11";"1";"1";"1";"1";"[16,18]";"0";"0";"1"
"7";"7";"0";"1";"37";"1";"1";"1";"1";"[9,10,13,29,30]";"0";"0";"1"
"8";"17";"0";"1";"35";"1";"1";"1";"1";"[14,26]";"0";"0";"1"
"9";"35";"0";"1";"29";"1";"1";"1";"1";"[9,10,15,24,32,34,37]";"0";"0";"1"
"10";"13";"0";"1";"27";"1";"1";"1";"1";"[16,18,20,25]";"0";"0";"1"
"11";"24";"0";"1";"5";"1";"1";"1";"1";"[12,22,32]";"0";"0";"1"
"12";"14";"0";"1";"30";"1";"1";"1";"2";"[6,15,19,24,31,34,37]";"0";"0";"1"
"13";"1";"0";"1";"2";"1";"1";"1";"1";"[4,38]";"0";"0";"1"
"14";"8";"0";"1";"18";"1";"1";"1";"1";"[3,11,16,27]";"0";"0";"1"
"15";"31";"0";"1";"22";"1";"1";"1";"2";"[5,12,32,34]";"0";"0";"1"
"16";"20";"0";"1";"3";"1";"1";"1";"2";"[1,9,10,13,16,18]";"0";"0";"1"
"17";"30";"0";"1";"38";"1";"1";"1";"1";"[2,4,20,36,39,40]";"0";"0";"1"
"18";"5";"0";"1";"25";"1";"1";"1";"1";"[27]";"0";"0";"1"
"19";"4";"0";"1";"9";"1";"1";"1";"1";"[1,3,10,13,29,37]";"0";"0";"1"
"20";"22";"0";"1";"26";"1";"1";"1";"1";"[14,35]";"0";"0";"1"
"21";"6";"0";"1";"16";"1";"1";"1";"1";"[3,11,18,27]";"0";"0";"1"
