"id";"id_subj";"time";"session";"id_grp";"grp";"round";"period";"sig";"links";"choice";"hist";"active"
"1";"13";"0";"1";"3";"4";"1";"1";"0";"[8,10]";"0";"0";"1"
"2";"36";"0";"1";"10";"3";"1";"1";"1";"[1,2,3,6,8,9]";"0";"0";"1"
"3";"16";"0";"1";"9";"2";"1";"1";"2";"[2,7,10]";"0";"0";"1"
"4";"14";"0";"1";"5";"3";"1";"1";"0";"[1,6]";"0";"0";"1"
"5";"28";"0";"1";"4";"2";"1";"1";"2";"[7,8]";"0";"0";"1"
"6";"38";"0";"1";"3";"3";"1";"1";"2";"[8,10]";"0";"0";"1"
"7";"10";"0";"1";"6";"2";"1";"1";"2";"[2,5,8,10]";"0";"0";"1"
"8";"35";"0";"1";"5";"1";"1";"1";"1";"[1,6]";"0";"0";"1"
"9";"22";"0";"1";"4";"1";"1";"1";"2";"[7,8]";"0";"0";"1"
"10";"17";"0";"1";"1";"1";"1";"1";"0";"[5,10]";"0";"0";"1"
"11";"9";"0";"1";"2";"4";"1";"1";"2";"[6,7,8,9,10]";"0";"0";"1"
"12";"24";"0";"1";"5";"4";"1";"1";"2";"[1,6]";"0";"0";"1"
"13";"33";"0";"1";"2";"2";"1";"1";"1";"[6,7,8,9,10]";"0";"0";"1"
"14";"34";"0";"1";"10";"1";"1";"1";"1";"[1,2,3,6,8,9]";"0";"0";"1"
"15";"27";"0";"1";"3";"1";"1";"1";"1";"[8,10]";"0";"0";"1"
"16";"6";"0";"1";"4";"3";"1";"1";"0";"[7,8]";"0";"0";"1"
"17";"31";"0";"1";"8";"3";"1";"1";"2";"[2,3,4,6,10]";"0";"0";"1"
"18";"2";"0";"1";"7";"4";"1";"1";"0";"[2,4,9]";"0";"0";"1"
"19";"12";"0";"1";"8";"4";"1";"1";"2";"[2,3,4,6,10]";"0";"0";"1"
"20";"4";"0";"1";"1";"3";"1";"1";"0";"[5,10]";"0";"0";"1"
"21";"3";"0";"1";"1";"2";"1";"1";"1";"[5,10]";"0";"0";"1"
"22";"21";"0";"1";"7";"3";"1";"1";"1";"[2,4,9]";"0";"0";"1"
"23";"7";"0";"1";"6";"4";"1";"1";"1";"[2,5,8,10]";"0";"0";"1"
"24";"26";"0";"1";"7";"2";"1";"1";"2";"[2,4,9]";"0";"0";"1"
"25";"1";"0";"1";"9";"3";"1";"1";"0";"[2,7,10]";"0";"0";"1"
