"id";"id_subj";"time";"session";"id_grp";"grp";"round";"period";"sig";"links";"choice";"hist";"active"
"1";"7";"0";"1";"6";"1";"1";"1";"1";"[2,7,8,9,10]";"0";"0";"1"
"2";"10";"0";"1";"6";"4";"1";"1";"1";"[2,7,8,9,10]";"0";"0";"1"
"3";"29";"0";"1";"10";"4";"1";"1";"1";"[6,7,8,9]";"0";"0";"1"
"4";"19";"0";"1";"4";"2";"1";"1";"2";"[1,2,5]";"0";"0";"1"
"5";"5";"0";"1";"2";"2";"1";"1";"1";"[1,3,4,5,6]";"0";"0";"1"
"6";"40";"0";"1";"1";"2";"1";"1";"2";"[2,3,4,5]";"0";"0";"1"
"7";"15";"0";"1";"9";"2";"1";"1";"1";"[6,7,8,10]";"0";"0";"1"
"8";"27";"0";"1";"7";"4";"1";"1";"1";"[6,8,9,10]";"0";"0";"1"
"9";"4";"0";"1";"2";"4";"1";"1";"1";"[1,3,4,5,6]";"0";"0";"1"
"10";"23";"0";"1";"1";"4";"1";"1";"1";"[2,3,4,5]";"0";"0";"1"
"11";"21";"0";"1";"10";"1";"1";"1";"1";"[6,7,8,9]";"0";"0";"1"
"12";"24";"0";"1";"5";"4";"1";"1";"1";"[1,2,3,4]";"0";"0";"1"
"13";"22";"0";"1";"5";"1";"1";"1";"1";"[1,2,3,4]";"0";"0";"1"
"14";"33";"0";"1";"9";"1";"1";"1";"1";"[6,7,8,10]";"0";"0";"1"
"15";"6";"0";"1";"10";"2";"1";"1";"2";"[6,7,8,9]";"0";"0";"1"
"16";"12";"0";"1";"7";"1";"1";"1";"1";"[6,8,9,10]";"0";"0";"1"
"17";"26";"0";"1";"3";"2";"1";"1";"1";"[1,2,5]";"0";"0";"1"
"18";"35";"0";"1";"5";"3";"1";"1";"2";"[1,2,3,4]";"0";"0";"1"
"19";"11";"0";"1";"2";"3";"1";"1";"1";"[1,3,4,5,6]";"0";"0";"1"
"20";"31";"0";"1";"8";"4";"1";"1";"1";"[6,7,9,10]";"0";"0";"1"
"21";"2";"0";"1";"5";"2";"1";"1";"2";"[1,2,3,4]";"0";"0";"1"
"22";"39";"0";"1";"6";"3";"1";"1";"2";"[2,7,8,9,10]";"0";"0";"1"
"23";"30";"0";"1";"1";"3";"1";"1";"2";"[2,3,4,5]";"0";"0";"1"
"24";"32";"0";"1";"6";"2";"1";"1";"1";"[2,7,8,9,10]";"0";"0";"1"
"25";"34";"0";"1";"9";"3";"1";"1";"2";"[6,7,8,10]";"0";"0";"1"
"26";"37";"0";"1";"1";"1";"1";"1";"2";"[2,3,4,5]";"0";"0";"1"
"27";"18";"0";"1";"8";"2";"1";"1";"2";"[6,7,9,10]";"0";"0";"1"
"28";"1";"0";"1";"10";"3";"1";"1";"2";"[6,7,8,9]";"0";"0";"1"
"29";"28";"0";"1";"4";"1";"1";"1";"2";"[1,2,5]";"0";"0";"1"
"30";"13";"0";"1";"7";"3";"1";"1";"2";"[6,8,9,10]";"0";"0";"1"
"31";"38";"0";"1";"3";"1";"1";"1";"2";"[1,2,5]";"0";"0";"1"
"32";"9";"0";"1";"4";"4";"1";"1";"1";"[1,2,5]";"0";"0";"1"
"33";"3";"0";"1";"8";"3";"1";"1";"2";"[6,7,9,10]";"0";"0";"1"
"34";"25";"0";"1";"3";"4";"1";"1";"1";"[1,2,5]";"0";"0";"1"
"35";"17";"0";"1";"3";"3";"1";"1";"1";"[1,2,5]";"0";"0";"1"
"36";"16";"0";"1";"8";"1";"1";"1";"2";"[6,7,9,10]";"0";"0";"1"
