"id";"id_subj";"time";"session";"id_grp";"grp";"round";"period";"sig";"links";"choice";"hist";"active"
"1";"31";"0";"1";"10";"3";"1";"1";"1";"[6,7,8,9]";"0";"0";"1"
"2";"13";"0";"1";"8";"3";"1";"1";"2";"[6,7,9,10]";"0";"0";"1"
"3";"22";"0";"1";"5";"2";"1";"1";"0";"[1,2,3,4]";"0";"0";"1"
"4";"37";"0";"1";"2";"1";"1";"1";"1";"[1,3,4,5,6]";"0";"0";"1"
"5";"19";"0";"1";"6";"3";"1";"1";"0";"[2,7,8,9,10]";"0";"0";"1"
"6";"10";"0";"1";"3";"3";"1";"1";"2";"[1,2,5]";"0";"0";"1"
"7";"7";"0";"1";"7";"4";"1";"1";"0";"[6,8,9,10]";"0";"0";"1"
"8";"18";"0";"1";"6";"4";"1";"1";"1";"[2,7,8,9,10]";"0";"0";"1"
"9";"9";"0";"1";"8";"1";"1";"1";"0";"[6,7,9,10]";"0";"0";"1"
"10";"40";"0";"1";"2";"4";"1";"1";"2";"[1,3,4,5,6]";"0";"0";"1"
"11";"38";"0";"1";"9";"2";"1";"1";"2";"[6,7,8,10]";"0";"0";"1"
"12";"30";"0";"1";"1";"1";"1";"1";"0";"[2,3,4,5]";"0";"0";"1"
"13";"12";"0";"1";"5";"3";"1";"1";"0";"[1,2,3,4]";"0";"0";"1"
"14";"36";"0";"1";"7";"2";"1";"1";"2";"[6,8,9,10]";"0";"0";"1"
"15";"35";"0";"1";"10";"4";"1";"1";"2";"[6,7,8,9]";"0";"0";"1"
"16";"11";"0";"1";"3";"1";"1";"1";"1";"[1,2,5]";"0";"0";"1"
"17";"6";"0";"1";"3";"2";"1";"1";"2";"[1,2,5]";"0";"0";"1"
"18";"8";"0";"1";"10";"2";"1";"1";"2";"[6,7,8,9]";"0";"0";"1"
"19";"3";"0";"1";"8";"2";"1";"1";"2";"[6,7,9,10]";"0";"0";"1"
"20";"32";"0";"1";"2";"2";"1";"1";"1";"[1,3,4,5,6]";"0";"0";"1"
"21";"28";"0";"1";"7";"1";"1";"1";"0";"[6,8,9,10]";"0";"0";"1"
"22";"26";"0";"1";"1";"2";"1";"1";"1";"[2,3,4,5]";"0";"0";"1"
"23";"33";"0";"1";"4";"2";"1";"1";"2";"[1,2,5]";"0";"0";"1"
"24";"34";"0";"1";"2";"3";"1";"1";"1";"[1,3,4,5,6]";"0";"0";"1"
"25";"39";"0";"1";"4";"1";"1";"1";"2";"[1,2,5]";"0";"0";"1"
"26";"15";"0";"1";"7";"3";"1";"1";"1";"[6,8,9,10]";"0";"0";"1"
"27";"16";"0";"1";"3";"4";"1";"1";"0";"[1,2,5]";"0";"0";"1"
"28";"25";"0";"1";"5";"1";"1";"1";"1";"[1,2,3,4]";"0";"0";"1"
"29";"17";"0";"1";"9";"1";"1";"1";"1";"[6,7,8,10]";"0";"0";"1"
"30";"14";"0";"1";"6";"1";"1";"1";"0";"[2,7,8,9,10]";"0";"0";"1"
"31";"4";"0";"1";"6";"2";"1";"1";"2";"[2,7,8,9,10]";"0";"0";"1"
"32";"21";"0";"1";"10";"1";"1";"1";"1";"[6,7,8,9]";"0";"0";"1"
"33";"20";"0";"1";"9";"4";"1";"1";"2";"[6,7,8,10]";"0";"0";"1"
"34";"24";"0";"1";"1";"4";"1";"1";"0";"[2,3,4,5]";"0";"0";"1"
"35";"29";"0";"1";"9";"3";"1";"1";"0";"[6,7,8,10]";"0";"0";"1"
"36";"27";"0";"1";"4";"3";"1";"1";"0";"[1,2,5]";"0";"0";"1"
"37";"5";"0";"1";"1";"3";"1";"1";"0";"[2,3,4,5]";"0";"0";"1"
"38";"23";"0";"1";"5";"4";"1";"1";"2";"[1,2,3,4]";"0";"0";"1"
"39";"1";"0";"1";"4";"4";"1";"1";"1";"[1,2,5]";"0";"0";"1"
"40";"2";"0";"1";"8";"4";"1";"1";"2";"[6,7,9,10]";"0";"0";"1"
"41";"25";"5";"1";"5";"1";"1";"1";"1";"[1,2,3,4]";"1";"0";"1"
"42";"40";"6";"1";"2";"4";"1";"1";"2";"[1,3,4,5,6]";"2";"0";"1"
"43";"26";"6";"1";"1";"2";"1";"1";"1";"[2,3,4,5]";"1";"0";"1"
"44";"25";"6";"1";"5";"1";"1";"1";"1";"[1,2,3,4]";"1";"0";"1"
"45";"36";"6";"1";"7";"2";"1";"1";"2";"[6,8,9,10]";"2";"0";"1"
"46";"15";"7";"1";"7";"3";"1";"1";"1";"[6,8,9,10]";"1";"0";"1"
"47";"40";"7";"1";"2";"4";"1";"1";"2";"[1,3,4,5,6]";"2";"0";"1"
"48";"13";"7";"1";"8";"3";"1";"1";"2";"[6,7,9,10]";"2";"0";"1"
"49";"26";"7";"1";"1";"2";"1";"1";"1";"[2,3,4,5]";"1";"0";"1"
"50";"11";"7";"1";"3";"1";"1";"1";"1";"[1,2,5]";"1";"0";"1"
"51";"18";"7";"1";"6";"4";"1";"1";"1";"[2,7,8,9,10]";"1";"0";"1"
"52";"34";"7";"1";"2";"3";"1";"1";"1";"[1,3,4,5,6]";"1";"0";"1"
"53";"23";"7";"1";"5";"4";"1";"1";"2";"[1,2,3,4]";"2";"0";"1"
"54";"36";"7";"1";"7";"2";"1";"1";"2";"[6,8,9,10]";"2";"0";"1"
"55";"15";"8";"1";"7";"3";"1";"1";"1";"[6,8,9,10]";"1";"0";"1"
"56";"8";"8";"1";"10";"2";"1";"1";"2";"[6,7,8,9]";"2";"0";"1"
"57";"39";"8";"1";"4";"1";"1";"1";"2";"[1,2,5]";"2";"0";"1"
"58";"13";"8";"1";"8";"3";"1";"1";"2";"[6,7,9,10]";"2";"0";"1"
"59";"33";"8";"1";"4";"2";"1";"1";"2";"[1,2,5]";"2";"0";"1"
"60";"11";"8";"1";"3";"1";"1";"1";"1";"[1,2,5]";"1";"0";"1"
"61";"18";"8";"1";"6";"4";"1";"1";"1";"[2,7,8,9,10]";"1";"0";"1"
"62";"34";"8";"1";"2";"3";"1";"1";"1";"[1,3,4,5,6]";"1";"0";"1"
"63";"23";"8";"1";"5";"4";"1";"1";"2";"[1,2,3,4]";"2";"0";"1"
"64";"8";"9";"1";"10";"2";"1";"1";"2";"[6,7,8,9]";"2";"0";"1"
"65";"39";"9";"1";"4";"1";"1";"1";"2";"[1,2,5]";"2";"0";"1"
"66";"19";"9";"1";"6";"3";"1";"1";"0";"[2,7,8,9,10]";"1";"0";"1"
"67";"33";"9";"1";"4";"2";"1";"1";"2";"[1,2,5]";"2";"0";"1"
"68";"35";"9";"1";"10";"4";"1";"1";"2";"[6,7,8,9]";"2";"0";"1"
"69";"38";"9";"1";"9";"2";"1";"1";"2";"[6,7,8,10]";"2";"0";"1"
"70";"19";"10";"1";"6";"3";"1";"1";"0";"[2,7,8,9,10]";"1";"0";"1"
"71";"24";"10";"1";"1";"4";"1";"1";"0";"[2,3,4,5]";"2";"0";"1"
"72";"31";"10";"1";"10";"3";"1";"1";"1";"[6,7,8,9]";"1";"0";"1"
"73";"35";"10";"1";"10";"4";"1";"1";"2";"[6,7,8,9]";"2";"0";"1"
"74";"38";"10";"1";"9";"2";"1";"1";"2";"[6,7,8,10]";"2";"0";"1"
"75";"3";"11";"1";"8";"2";"1";"1";"2";"[6,7,9,10]";"2";"0";"1"
"76";"6";"11";"1";"3";"2";"1";"1";"2";"[1,2,5]";"2";"0";"1"
"77";"24";"11";"1";"1";"4";"1";"1";"0";"[2,3,4,5]";"2";"0";"1"
"78";"31";"11";"1";"10";"3";"1";"1";"1";"[6,7,8,9]";"1";"0";"1"
"79";"17";"11";"1";"9";"1";"1";"1";"1";"[6,7,8,10]";"1";"0";"1"
"80";"37";"11";"1";"2";"1";"1";"1";"1";"[1,3,4,5,6]";"1";"0";"1"
"81";"1";"12";"1";"4";"4";"1";"1";"1";"[1,2,5]";"1";"0";"1"
"82";"4";"12";"1";"6";"2";"1";"1";"2";"[2,7,8,9,10]";"2";"0";"1"
"83";"9";"12";"1";"8";"1";"1";"1";"0";"[6,7,9,10]";"1";"0";"1"
"84";"3";"12";"1";"8";"2";"1";"1";"2";"[6,7,9,10]";"2";"0";"1"
"85";"2";"12";"1";"8";"4";"1";"1";"2";"[6,7,9,10]";"2";"0";"1"
"86";"6";"12";"1";"3";"2";"1";"1";"2";"[1,2,5]";"2";"0";"1"
"87";"21";"12";"1";"10";"1";"1";"1";"1";"[6,7,8,9]";"1";"0";"1"
"88";"17";"12";"1";"9";"1";"1";"1";"1";"[6,7,8,10]";"1";"0";"1"
"89";"32";"12";"1";"2";"2";"1";"1";"1";"[1,3,4,5,6]";"2";"0";"1"
"90";"16";"12";"1";"3";"4";"1";"1";"0";"[1,2,5]";"2";"0";"1"
"91";"7";"12";"1";"7";"4";"1";"1";"0";"[6,8,9,10]";"1";"0";"1"
"92";"37";"12";"1";"2";"1";"1";"1";"1";"[1,3,4,5,6]";"1";"0";"1"
"93";"1";"13";"1";"4";"4";"1";"1";"1";"[1,2,5]";"1";"0";"1"
"94";"4";"13";"1";"6";"2";"1";"1";"2";"[2,7,8,9,10]";"2";"0";"1"
"95";"20";"13";"1";"9";"4";"1";"1";"2";"[6,7,8,10]";"2";"0";"1"
"96";"9";"13";"1";"8";"1";"1";"1";"0";"[6,7,9,10]";"1";"0";"1"
"97";"2";"13";"1";"8";"4";"1";"1";"2";"[6,7,9,10]";"2";"0";"1"
"98";"21";"13";"1";"10";"1";"1";"1";"1";"[6,7,8,9]";"1";"0";"1"
"99";"32";"13";"1";"2";"2";"1";"1";"1";"[1,3,4,5,6]";"2";"0";"1"
"100";"16";"13";"1";"3";"4";"1";"1";"0";"[1,2,5]";"2";"0";"1"
"101";"7";"13";"1";"7";"4";"1";"1";"0";"[6,8,9,10]";"1";"0";"1"
"102";"20";"14";"1";"9";"4";"1";"1";"2";"[6,7,8,10]";"2";"0";"1"
"103";"14";"14";"1";"6";"1";"1";"1";"0";"[2,7,8,9,10]";"1";"0";"1"
"104";"29";"15";"1";"9";"3";"1";"1";"0";"[6,7,8,10]";"1";"0";"1"
"105";"14";"15";"1";"6";"1";"1";"1";"0";"[2,7,8,9,10]";"1";"0";"1"
"106";"27";"15";"1";"4";"3";"1";"1";"0";"[1,2,5]";"2";"0";"1"
"107";"12";"16";"1";"5";"3";"1";"1";"0";"[1,2,3,4]";"1";"0";"1"
"108";"29";"16";"1";"9";"3";"1";"1";"0";"[6,7,8,10]";"1";"0";"1"
"109";"27";"16";"1";"4";"3";"1";"1";"0";"[1,2,5]";"2";"0";"1"
"110";"12";"17";"1";"5";"3";"1";"1";"0";"[1,2,3,4]";"1";"0";"1"
"111";"28";"17";"1";"7";"1";"1";"1";"0";"[6,8,9,10]";"1";"0";"1"
"112";"28";"18";"1";"7";"1";"1";"1";"0";"[6,8,9,10]";"1";"0";"1"
"113";"10";"18";"1";"3";"3";"1";"1";"2";"[1,2,5]";"1";"0";"1"
"114";"10";"19";"1";"3";"3";"1";"1";"2";"[1,2,5]";"1";"0";"1"
"115";"5";"20";"1";"1";"3";"1";"1";"0";"[2,3,4,5]";"2";"0";"1"
"116";"5";"21";"1";"1";"3";"1";"1";"0";"[2,3,4,5]";"2";"0";"1"
"117";"22";"28";"1";"5";"2";"1";"1";"0";"[1,2,3,4]";"2";"0";"1"
"118";"22";"29";"1";"5";"2";"1";"1";"0";"[1,2,3,4]";"2";"0";"1"
"119";"30";"30";"1";"1";"1";"1";"1";"0";"[2,3,4,5]";"1";"0";"1"
"120";"30";"31";"1";"1";"1";"1";"1";"0";"[2,3,4,5]";"1";"0";"1"
"121";"40";"33";"1";"2";"4";"1";"2";"2";"[1,3,4,5,6]";"2";"0";"1"
"122";"36";"34";"1";"7";"2";"1";"2";"2";"[6,8,9,10]";"2";"0";"1"
"123";"40";"34";"1";"2";"4";"1";"2";"2";"[1,3,4,5,6]";"2";"0";"1"
