"","period","mean","converge_time","signal","type","good"
"1",1,0.6,8,1,"ER_10","Correct consensus"
"2",2,0.6,8,1,"ER_10","Correct consensus"
"3",3,0.7,8,1,"ER_10","Correct consensus"
"4",4,0.9,8,1,"ER_10","Correct consensus"
"5",5,1,8,1,"ER_10","Correct consensus"
"6",6,1,8,1,"ER_10","Correct consensus"
"7",7,1,8,1,"ER_10","Correct consensus"
"8",8,1,8,1,"ER_10","Correct consensus"
"9",9,1,8,1,"ER_10","Correct consensus"
"10",10,1,8,1,"ER_10","Correct consensus"
"11",11,1,8,1,"ER_10","Correct consensus"
"12",12,1,8,1,"ER_10","Correct consensus"
"13",1,0.9,4,2,"ER_10","Correct consensus"
"14",2,1,4,2,"ER_10","Correct consensus"
"15",3,1,4,2,"ER_10","Correct consensus"
"16",4,1,4,2,"ER_10","Correct consensus"
"17",5,1,4,2,"ER_10","Correct consensus"
"18",6,1,4,2,"ER_10","Correct consensus"
"19",7,1,4,2,"ER_10","Correct consensus"
"20",8,1,4,2,"ER_10","Correct consensus"
"21",9,1,4,2,"ER_10","Correct consensus"
"22",10,1,4,2,"ER_10","Correct consensus"
"23",11,1,4,2,"ER_10","Correct consensus"
"24",12,1,4,2,"ER_10","Correct consensus"
"25",1,0.6,4,3,"ER_10","Correct consensus"
"26",2,0.7,4,3,"ER_10","Correct consensus"
"27",3,1,4,3,"ER_10","Correct consensus"
"28",4,1,4,3,"ER_10","Correct consensus"
"29",5,1,4,3,"ER_10","Correct consensus"
"30",6,1,4,3,"ER_10","Correct consensus"
"31",7,1,4,3,"ER_10","Correct consensus"
"32",8,1,4,3,"ER_10","Correct consensus"
"33",9,1,4,3,"ER_10","Correct consensus"
"34",10,1,4,3,"ER_10","Correct consensus"
"35",11,1,4,3,"ER_10","Correct consensus"
"36",12,1,4,3,"ER_10","Correct consensus"
"37",1,0.7,4,4,"ER_10","Correct consensus"
"38",2,0.8,4,4,"ER_10","Correct consensus"
"39",3,1,4,4,"ER_10","Correct consensus"
"40",4,1,4,4,"ER_10","Correct consensus"
"41",5,1,4,4,"ER_10","Correct consensus"
"42",6,1,4,4,"ER_10","Correct consensus"
"43",7,1,4,4,"ER_10","Correct consensus"
"44",8,1,4,4,"ER_10","Correct consensus"
"45",9,1,4,4,"ER_10","Correct consensus"
"46",10,1,4,4,"ER_10","Correct consensus"
"47",11,1,4,4,"ER_10","Correct consensus"
"48",12,1,4,4,"ER_10","Correct consensus"
"49",1,0.9,4,5,"ER_10","Correct consensus"
"50",2,1,4,5,"ER_10","Correct consensus"
"51",3,1,4,5,"ER_10","Correct consensus"
"52",4,1,4,5,"ER_10","Correct consensus"
"53",5,1,4,5,"ER_10","Correct consensus"
"54",6,1,4,5,"ER_10","Correct consensus"
"55",7,1,4,5,"ER_10","Correct consensus"
"56",8,1,4,5,"ER_10","Correct consensus"
"57",9,1,4,5,"ER_10","Correct consensus"
"58",10,1,4,5,"ER_10","Correct consensus"
"59",11,1,4,5,"ER_10","Correct consensus"
"60",12,1,4,5,"ER_10","Correct consensus"
"61",1,0.7,4,6,"ER_10","Correct consensus"
"62",2,0.8,4,6,"ER_10","Correct consensus"
"63",3,1,4,6,"ER_10","Correct consensus"
"64",4,1,4,6,"ER_10","Correct consensus"
"65",5,1,4,6,"ER_10","Correct consensus"
"66",6,1,4,6,"ER_10","Correct consensus"
"67",7,1,4,6,"ER_10","Correct consensus"
"68",8,1,4,6,"ER_10","Correct consensus"
"69",9,1,4,6,"ER_10","Correct consensus"
"70",10,1,4,6,"ER_10","Correct consensus"
"71",11,1,4,6,"ER_10","Correct consensus"
"72",12,1,4,6,"ER_10","Correct consensus"
"73",1,0.5,6,7,"ER_10","Incorrect consensus"
"74",2,0.3,6,7,"ER_10","Incorrect consensus"
"75",3,0,6,7,"ER_10","Incorrect consensus"
"76",4,0,6,7,"ER_10","Incorrect consensus"
"77",5,0,6,7,"ER_10","Incorrect consensus"
"78",6,0,6,7,"ER_10","Incorrect consensus"
"79",7,0,6,7,"ER_10","Incorrect consensus"
"80",8,0,6,7,"ER_10","Incorrect consensus"
"81",9,0,6,7,"ER_10","Incorrect consensus"
"82",10,0,6,7,"ER_10","Incorrect consensus"
"83",11,0,6,7,"ER_10","Incorrect consensus"
"84",12,0,6,7,"ER_10","Incorrect consensus"
"85",1,0.9,4,8,"ER_10","Correct consensus"
"86",2,1,4,8,"ER_10","Correct consensus"
"87",3,1,4,8,"ER_10","Correct consensus"
"88",4,1,4,8,"ER_10","Correct consensus"
"89",5,1,4,8,"ER_10","Correct consensus"
"90",6,1,4,8,"ER_10","Correct consensus"
"91",7,1,4,8,"ER_10","Correct consensus"
"92",8,1,4,8,"ER_10","Correct consensus"
"93",9,1,4,8,"ER_10","Correct consensus"
"94",10,1,4,8,"ER_10","Correct consensus"
"95",11,1,4,8,"ER_10","Correct consensus"
"96",12,1,4,8,"ER_10","Correct consensus"
"97",1,0.5,6,9,"ER_10","Incorrect consensus"
"98",2,0.5,6,9,"ER_10","Incorrect consensus"
"99",3,0.2,6,9,"ER_10","Incorrect consensus"
"100",4,0,6,9,"ER_10","Incorrect consensus"
"101",5,0,6,9,"ER_10","Incorrect consensus"
"102",6,0,6,9,"ER_10","Incorrect consensus"
"103",7,0,6,9,"ER_10","Incorrect consensus"
"104",8,0,6,9,"ER_10","Incorrect consensus"
"105",9,0,6,9,"ER_10","Incorrect consensus"
"106",10,0,6,9,"ER_10","Incorrect consensus"
"107",11,0,6,9,"ER_10","Incorrect consensus"
"108",12,0,6,9,"ER_10","Incorrect consensus"
"109",1,0.7,5,10,"ER_10","Correct consensus"
"110",2,0.9,5,10,"ER_10","Correct consensus"
"111",3,1,5,10,"ER_10","Correct consensus"
"112",4,1,5,10,"ER_10","Correct consensus"
"113",5,1,5,10,"ER_10","Correct consensus"
"114",6,1,5,10,"ER_10","Correct consensus"
"115",7,1,5,10,"ER_10","Correct consensus"
"116",8,1,5,10,"ER_10","Correct consensus"
"117",9,1,5,10,"ER_10","Correct consensus"
"118",10,1,5,10,"ER_10","Correct consensus"
"119",11,1,5,10,"ER_10","Correct consensus"
"120",12,1,5,10,"ER_10","Correct consensus"
"121",1,0.8,4,11,"ER_10","Correct consensus"
"122",2,1,4,11,"ER_10","Correct consensus"
"123",3,1,4,11,"ER_10","Correct consensus"
"124",4,1,4,11,"ER_10","Correct consensus"
"125",5,1,4,11,"ER_10","Correct consensus"
"126",6,1,4,11,"ER_10","Correct consensus"
"127",7,1,4,11,"ER_10","Correct consensus"
"128",8,1,4,11,"ER_10","Correct consensus"
"129",9,1,4,11,"ER_10","Correct consensus"
"130",10,1,4,11,"ER_10","Correct consensus"
"131",11,1,4,11,"ER_10","Correct consensus"
"132",12,1,4,11,"ER_10","Correct consensus"
"133",1,0.7,4,12,"ER_10","Correct consensus"
"134",2,0.8,4,12,"ER_10","Correct consensus"
"135",3,1,4,12,"ER_10","Correct consensus"
"136",4,1,4,12,"ER_10","Correct consensus"
"137",5,1,4,12,"ER_10","Correct consensus"
"138",6,1,4,12,"ER_10","Correct consensus"
"139",7,1,4,12,"ER_10","Correct consensus"
"140",8,1,4,12,"ER_10","Correct consensus"
"141",9,1,4,12,"ER_10","Correct consensus"
"142",10,1,4,12,"ER_10","Correct consensus"
"143",11,1,4,12,"ER_10","Correct consensus"
"144",12,1,4,12,"ER_10","Correct consensus"
"145",1,0.8,4,13,"ER_10","Correct consensus"
"146",2,1,4,13,"ER_10","Correct consensus"
"147",3,1,4,13,"ER_10","Correct consensus"
"148",4,1,4,13,"ER_10","Correct consensus"
"149",5,1,4,13,"ER_10","Correct consensus"
"150",6,1,4,13,"ER_10","Correct consensus"
"151",7,1,4,13,"ER_10","Correct consensus"
"152",8,1,4,13,"ER_10","Correct consensus"
"153",9,1,4,13,"ER_10","Correct consensus"
"154",10,1,4,13,"ER_10","Correct consensus"
"155",11,1,4,13,"ER_10","Correct consensus"
"156",12,1,4,13,"ER_10","Correct consensus"
"157",1,0.9,3,14,"ER_10","Correct consensus"
"158",2,1,3,14,"ER_10","Correct consensus"
"159",3,1,3,14,"ER_10","Correct consensus"
"160",4,1,3,14,"ER_10","Correct consensus"
"161",5,1,3,14,"ER_10","Correct consensus"
"162",6,1,3,14,"ER_10","Correct consensus"
"163",7,1,3,14,"ER_10","Correct consensus"
"164",8,1,3,14,"ER_10","Correct consensus"
"165",9,1,3,14,"ER_10","Correct consensus"
"166",10,1,3,14,"ER_10","Correct consensus"
"167",11,1,3,14,"ER_10","Correct consensus"
"168",12,1,3,14,"ER_10","Correct consensus"
"169",1,0.8,4,15,"ER_10","Correct consensus"
"170",2,1,4,15,"ER_10","Correct consensus"
"171",3,1,4,15,"ER_10","Correct consensus"
"172",4,1,4,15,"ER_10","Correct consensus"
"173",5,1,4,15,"ER_10","Correct consensus"
"174",6,1,4,15,"ER_10","Correct consensus"
"175",7,1,4,15,"ER_10","Correct consensus"
"176",8,1,4,15,"ER_10","Correct consensus"
"177",9,1,4,15,"ER_10","Correct consensus"
"178",10,1,4,15,"ER_10","Correct consensus"
"179",11,1,4,15,"ER_10","Correct consensus"
"180",12,1,4,15,"ER_10","Correct consensus"
"181",1,0.9,3,16,"ER_10","Correct consensus"
"182",2,1,3,16,"ER_10","Correct consensus"
"183",3,1,3,16,"ER_10","Correct consensus"
"184",4,1,3,16,"ER_10","Correct consensus"
"185",5,1,3,16,"ER_10","Correct consensus"
"186",6,1,3,16,"ER_10","Correct consensus"
"187",7,1,3,16,"ER_10","Correct consensus"
"188",8,1,3,16,"ER_10","Correct consensus"
"189",9,1,3,16,"ER_10","Correct consensus"
"190",10,1,3,16,"ER_10","Correct consensus"
"191",11,1,3,16,"ER_10","Correct consensus"
"192",12,1,3,16,"ER_10","Correct consensus"
"193",1,0.8,3,17,"ER_10","Correct consensus"
"194",2,1,3,17,"ER_10","Correct consensus"
"195",3,1,3,17,"ER_10","Correct consensus"
"196",4,1,3,17,"ER_10","Correct consensus"
"197",5,1,3,17,"ER_10","Correct consensus"
"198",6,1,3,17,"ER_10","Correct consensus"
"199",7,1,3,17,"ER_10","Correct consensus"
"200",8,1,3,17,"ER_10","Correct consensus"
"201",9,1,3,17,"ER_10","Correct consensus"
"202",10,1,3,17,"ER_10","Correct consensus"
"203",11,1,3,17,"ER_10","Correct consensus"
"204",12,1,3,17,"ER_10","Correct consensus"
"205",1,0.6,5,18,"ER_10","Correct consensus"
"206",2,0.8,5,18,"ER_10","Correct consensus"
"207",3,1,5,18,"ER_10","Correct consensus"
"208",4,1,5,18,"ER_10","Correct consensus"
"209",5,1,5,18,"ER_10","Correct consensus"
"210",6,1,5,18,"ER_10","Correct consensus"
"211",7,1,5,18,"ER_10","Correct consensus"
"212",8,1,5,18,"ER_10","Correct consensus"
"213",9,1,5,18,"ER_10","Correct consensus"
"214",10,1,5,18,"ER_10","Correct consensus"
"215",11,1,5,18,"ER_10","Correct consensus"
"216",12,1,5,18,"ER_10","Correct consensus"
"217",1,0.9,3,19,"ER_10","Correct consensus"
"218",2,1,3,19,"ER_10","Correct consensus"
"219",3,1,3,19,"ER_10","Correct consensus"
"220",4,1,3,19,"ER_10","Correct consensus"
"221",5,1,3,19,"ER_10","Correct consensus"
"222",6,1,3,19,"ER_10","Correct consensus"
"223",7,1,3,19,"ER_10","Correct consensus"
"224",8,1,3,19,"ER_10","Correct consensus"
"225",9,1,3,19,"ER_10","Correct consensus"
"226",10,1,3,19,"ER_10","Correct consensus"
"227",11,1,3,19,"ER_10","Correct consensus"
"228",12,1,3,19,"ER_10","Correct consensus"
"229",1,0.6,5,20,"ER_10","Correct consensus"
"230",2,0.8,5,20,"ER_10","Correct consensus"
"231",3,1,5,20,"ER_10","Correct consensus"
"232",4,1,5,20,"ER_10","Correct consensus"
"233",5,1,5,20,"ER_10","Correct consensus"
"234",6,1,5,20,"ER_10","Correct consensus"
"235",7,1,5,20,"ER_10","Correct consensus"
"236",8,1,5,20,"ER_10","Correct consensus"
"237",9,1,5,20,"ER_10","Correct consensus"
"238",10,1,5,20,"ER_10","Correct consensus"
"239",11,1,5,20,"ER_10","Correct consensus"
"240",12,1,5,20,"ER_10","Correct consensus"
"241",1,0.6,5,21,"ER_10","Correct consensus"
"242",2,0.8,5,21,"ER_10","Correct consensus"
"243",3,1,5,21,"ER_10","Correct consensus"
"244",4,1,5,21,"ER_10","Correct consensus"
"245",5,1,5,21,"ER_10","Correct consensus"
"246",6,1,5,21,"ER_10","Correct consensus"
"247",7,1,5,21,"ER_10","Correct consensus"
