"","period","mean","converge","signal","type","good"
"2",1,0.6,NA,1,"ER_10","Correct consensus"
"3",2,0.7,0,1,"ER_10","Correct consensus"
"4",3,0.9,0,1,"ER_10","Correct consensus"
"5",4,1,0,1,"ER_10","Correct consensus"
"6",5,1,1,1,"ER_10","Correct consensus"
"7",6,1,1,1,"ER_10","Correct consensus"
"8",7,1,1,1,"ER_10","Correct consensus"
"9",8,1,1,1,"ER_10","Correct consensus"
"10",9,1,1,1,"ER_10","Correct consensus"
"11",10,1,1,1,"ER_10","Correct consensus"
"12",11,1,1,1,"ER_10","Correct consensus"
"13",12,1,1,1,"ER_10","Correct consensus"
"14",1,0.9,NA,2,"ER_10","Correct consensus"
"15",2,1,0,2,"ER_10","Correct consensus"
"16",3,1,1,2,"ER_10","Correct consensus"
"17",4,1,1,2,"ER_10","Correct consensus"
"18",5,1,1,2,"ER_10","Correct consensus"
"19",6,1,1,2,"ER_10","Correct consensus"
"20",7,1,1,2,"ER_10","Correct consensus"
"21",8,1,1,2,"ER_10","Correct consensus"
"22",9,1,1,2,"ER_10","Correct consensus"
"23",10,1,1,2,"ER_10","Correct consensus"
"24",11,1,1,2,"ER_10","Correct consensus"
"25",12,1,1,2,"ER_10","Correct consensus"
"26",1,0.6,NA,3,"ER_10","Correct consensus"
"27",2,0.7,0,3,"ER_10","Correct consensus"
"28",3,0.8,0,3,"ER_10","Correct consensus"
"29",4,0.8,0,3,"ER_10","Correct consensus"
"30",5,1,0,3,"ER_10","Correct consensus"
"31",6,1,1,3,"ER_10","Correct consensus"
"32",7,1,1,3,"ER_10","Correct consensus"
"33",8,1,1,3,"ER_10","Correct consensus"
"34",9,1,1,3,"ER_10","Correct consensus"
"35",10,1,1,3,"ER_10","Correct consensus"
"36",11,1,1,3,"ER_10","Correct consensus"
"37",12,1,1,3,"ER_10","Correct consensus"
"38",1,0.7,NA,4,"ER_10","Correct consensus"
"39",2,0.9,0,4,"ER_10","Correct consensus"
"40",3,1,0,4,"ER_10","Correct consensus"
"41",4,1,1,4,"ER_10","Correct consensus"
"42",5,1,1,4,"ER_10","Correct consensus"
"43",6,1,1,4,"ER_10","Correct consensus"
"44",7,1,1,4,"ER_10","Correct consensus"
"45",8,1,1,4,"ER_10","Correct consensus"
"46",9,1,1,4,"ER_10","Correct consensus"
"47",10,1,1,4,"ER_10","Correct consensus"
"48",11,1,1,4,"ER_10","Correct consensus"
"49",12,1,1,4,"ER_10","Correct consensus"
"50",1,0.9,NA,5,"ER_10","Correct consensus"
"51",2,1,0,5,"ER_10","Correct consensus"
"52",3,1,1,5,"ER_10","Correct consensus"
"53",4,1,1,5,"ER_10","Correct consensus"
"54",5,1,1,5,"ER_10","Correct consensus"
"55",6,1,1,5,"ER_10","Correct consensus"
