"group","round","period","mean","type","good","initsig"
1,1,1,0.4,"ER_10","Correct consensus",0.6
1,1,2,0.4,"ER_10","Correct consensus",0.6
1,1,3,0.5,"ER_10","Correct consensus",0.6
1,1,4,0.5,"ER_10","Correct consensus",0.6
1,1,5,0.4,"ER_10","Correct consensus",0.6
1,1,6,0.3,"ER_10","Correct consensus",0.6
1,1,7,0.6,"ER_10","Correct consensus",0.6
1,1,8,0.8,"ER_10","Correct consensus",0.6
1,1,9,0.7,"ER_10","Correct consensus",0.6
1,1,10,0.7,"ER_10","Correct consensus",0.6
1,1,11,0.5,"ER_10","Correct consensus",0.6
1,1,12,0.3,"ER_10","Correct consensus",0.6
1,2,1,0.9,"ER_10","Correct consensus",0.9
1,2,2,1,"ER_10","Correct consensus",0.9
1,2,3,0.9,"ER_10","Correct consensus",0.9
1,2,4,0.8,"ER_10","Correct consensus",0.9
1,2,5,0.9,"ER_10","Correct consensus",0.9
1,2,6,0.9,"ER_10","Correct consensus",0.9
1,2,7,1,"ER_10","Correct consensus",0.9
1,2,8,0.9,"ER_10","Correct consensus",0.9
1,2,9,0.8,"ER_10","Correct consensus",0.9
1,2,10,0.9,"ER_10","Correct consensus",0.9
1,2,11,1,"ER_10","Correct consensus",0.9
1,2,12,0.9,"ER_10","Correct consensus",0.9
1,3,1,0.5,"ER_10","Correct consensus",0.6
1,3,2,0.6,"ER_10","Correct consensus",0.6
1,3,3,0.3,"ER_10","Correct consensus",0.6
1,3,4,0.2,"ER_10","Correct consensus",0.6
1,3,5,0.1,"ER_10","Correct consensus",0.6
1,3,6,0.2,"ER_10","Correct consensus",0.6
1,3,7,0.3,"ER_10","Correct consensus",0.6
1,3,8,0.3,"ER_10","Correct consensus",0.6
1,3,9,0.2,"ER_10","Correct consensus",0.6
1,3,10,0.2,"ER_10","Correct consensus",0.6
1,3,11,0.5,"ER_10","Correct consensus",0.6
1,3,12,0.4,"ER_10","Correct consensus",0.6
1,4,1,0.6,"ER_10","Correct consensus",0.7
1,4,2,0.7,"ER_10","Correct consensus",0.7
1,4,3,0.8,"ER_10","Correct consensus",0.7
1,4,4,0.9,"ER_10","Correct consensus",0.7
1,4,5,0.7,"ER_10","Correct consensus",0.7
1,4,6,0.8,"ER_10","Correct consensus",0.7
1,4,7,0.7,"ER_10","Correct consensus",0.7
1,4,8,0.8,"ER_10","Correct consensus",0.7
1,4,9,0.8,"ER_10","Correct consensus",0.7
1,4,10,0.9,"ER_10","Correct consensus",0.7
1,4,11,0.9,"ER_10","Correct consensus",0.7
1,4,12,0.8,"ER_10","Correct consensus",0.7
1,5,1,0.9,"ER_10","Correct consensus",0.9
1,5,2,1,"ER_10","Correct consensus",0.9
1,5,3,1,"ER_10","Correct consensus",0.9
1,5,4,0.9,"ER_10","Correct consensus",0.9
1,5,5,0.9,"ER_10","Correct consensus",0.9
1,5,6,0.8,"ER_10","Correct consensus",0.9
1,5,7,0.9,"ER_10","Correct consensus",0.9
1,5,8,1,"ER_10","Correct consensus",0.9
1,5,9,1,"ER_10","Correct consensus",0.9
1,5,10,1,"ER_10","Correct consensus",0.9
1,5,11,0.9,"ER_10","Correct consensus",0.9
1,5,12,0.8,"ER_10","Correct consensus",0.9
1,6,1,0.5,"ER_10","Correct consensus",0.7
1,6,2,0.4,"ER_10","Correct consensus",0.7
1,6,3,0.4,"ER_10","Correct consensus",0.7
1,6,4,0.4,"ER_10","Correct consensus",0.7
1,6,5,0.4,"ER_10","Correct consensus",0.7
1,6,6,0.3,"ER_10","Correct consensus",0.7
1,6,7,0.4,"ER_10","Correct consensus",0.7
1,6,8,0.4,"ER_10","Correct consensus",0.7
1,6,9,0.4,"ER_10","Correct consensus",0.7
1,6,10,0.4,"ER_10","Correct consensus",0.7
1,6,11,0.4,"ER_10","Correct consensus",0.7
1,6,12,0.4,"ER_10","Correct consensus",0.7
2,1,1,0.5,"ER_10","Incorrect consensus",0.5
2,1,2,0.3,"ER_10","Incorrect consensus",0.5
2,1,3,0,"ER_10","Incorrect consensus",0.5
2,1,4,0.1,"ER_10","Incorrect consensus",0.5
2,1,5,0.2,"ER_10","Incorrect consensus",0.5
2,1,6,0,"ER_10","Incorrect consensus",0.5
2,1,7,0.1,"ER_10","Incorrect consensus",0.5
2,1,8,0.1,"ER_10","Incorrect consensus",0.5
2,1,9,0.2,"ER_10","Incorrect consensus",0.5
2,1,10,0.2,"ER_10","Incorrect consensus",0.5
2,1,11,0.1,"ER_10","Incorrect consensus",0.5
2,1,12,0.2,"ER_10","Incorrect consensus",0.5
2,2,1,0.9,"ER_10","Correct consensus",0.9
2,2,2,1,"ER_10","Correct consensus",0.9
2,2,3,0.9,"ER_10","Correct consensus",0.9
2,2,4,0.9,"ER_10","Correct consensus",0.9
2,2,5,1,"ER_10","Correct consensus",0.9
2,2,6,0.9,"ER_10","Correct consensus",0.9
2,2,7,1,"ER_10","Correct consensus",0.9
2,2,8,1,"ER_10","Correct consensus",0.9
2,2,9,0.9,"ER_10","Correct consensus",0.9
2,2,10,1,"ER_10","Correct consensus",0.9
2,2,11,1,"ER_10","Correct consensus",0.9
2,2,12,0.9,"ER_10","Correct consensus",0.9
2,3,1,0.6,"ER_10","Correct consensus",0.5
2,3,2,0.8,"ER_10","Correct consensus",0.5
2,3,3,0.8,"ER_10","Correct consensus",0.5
2,3,4,0.9,"ER_10","Correct consensus",0.5
2,3,5,0.7,"ER_10","Correct consensus",0.5
2,3,6,0.8,"ER_10","Correct consensus",0.5
2,3,7,0.8,"ER_10","Correct consensus",0.5
2,3,8,0.8,"ER_10","Correct consensus",0.5
2,3,9,0.7,"ER_10","Correct consensus",0.5
2,3,10,0.8,"ER_10","Correct consensus",0.5
2,3,11,0.8,"ER_10","Correct consensus",0.5
2,3,12,0.8,"ER_10","Correct consensus",0.5
2,4,1,0.8,"ER_10","Correct consensus",0.7
2,4,2,0.9,"ER_10","Correct consensus",0.7
2,4,3,0.8,"ER_10","Correct consensus",0.7
2,4,4,0.7,"ER_10","Correct consensus",0.7
2,4,5,0.8,"ER_10","Correct consensus",0.7
2,4,6,1,"ER_10","Correct consensus",0.7
2,4,7,0.9,"ER_10","Correct consensus",0.7
2,4,8,0.9,"ER_10","Correct consensus",0.7
2,4,9,1,"ER_10","Correct consensus",0.7
2,4,10,1,"ER_10","Correct consensus",0.7
2,4,11,0.9,"ER_10","Correct consensus",0.7
2,4,12,0.9,"ER_10","Correct consensus",0.7
2,5,1,0.8,"ER_10","Correct consensus",0.8
2,5,2,1,"ER_10","Correct consensus",0.8
2,5,3,1,"ER_10","Correct consensus",0.8
2,5,4,1,"ER_10","Correct consensus",0.8
2,5,5,1,"ER_10","Correct consensus",0.8
2,5,6,1,"ER_10","Correct consensus",0.8
2,5,7,0.9,"ER_10","Correct consensus",0.8
2,5,8,0.9,"ER_10","Correct consensus",0.8
2,5,9,0.9,"ER_10","Correct consensus",0.8
2,5,10,0.9,"ER_10","Correct consensus",0.8
2,5,11,0.9,"ER_10","Correct consensus",0.8
2,5,12,0.9,"ER_10","Correct consensus",0.8
2,6,1,0.6,"ER_10","Correct consensus",0.7
2,6,2,0.5,"ER_10","Correct consensus",0.7
2,6,3,0.5,"ER_10","Correct consensus",0.7
2,6,4,0.7,"ER_10","Correct consensus",0.7
2,6,5,0.7,"ER_10","Correct consensus",0.7
2,6,6,0.8,"ER_10","Correct consensus",0.7
2,6,7,0.9,"ER_10","Correct consensus",0.7
2,6,8,1,"ER_10","Correct consensus",0.7
2,6,9,0.8,"ER_10","Correct consensus",0.7
2,6,10,0.9,"ER_10","Correct consensus",0.7
2,6,11,0.9,"ER_10","Correct consensus",0.7
2,6,12,0.8,"ER_10","Correct consensus",0.7
3,1,1,0.7,"ER_10","Correct consensus",0.8
3,1,2,0.7,"ER_10","Correct consensus",0.8
3,1,3,0.7,"ER_10","Correct consensus",0.8
3,1,4,0.7,"ER_10","Correct consensus",0.8
3,1,5,0.7,"ER_10","Correct consensus",0.8
3,1,6,0.8,"ER_10","Correct consensus",0.8
3,1,7,0.7,"ER_10","Correct consensus",0.8
3,1,8,0.7,"ER_10","Correct consensus",0.8
